prompt,true_suffix,response
"This is a tale of murder.
Or maybe that's not quite true. At its heart, it's a love story, isn't it? The saddest kind of love story—about the end of love; the death of love.
So I guess I was right the first time.
You may think you know this story. You probably read about it at the time—the tabloids loved it, if you recall: MURDER ISLAND was a popular headline. Unsurprising, really, as it had all the perfect ingredients for a press sensation: a reclusive ex–movie star; a private Greek island cut off by the wind … and, of course, a murder.
A lot of rubbish was written about that night. All kinds of wild, inaccurate theories about what may, or may not, have taken place. I avoided all of it. I had no interest in reading misinformed speculation about what might have happened on the island.
I knew what happened. I was there.
Who am I? Well, I am the narrator of this tale—and also a character in it.
There were seven of us in all",", trapped on the island.
One of us was a murderer.
But before you start laying bets on which of us did it, I feel duty bound to inform you that this is not a whodunit. Thanks to Agatha Christie, we all know how this kind of story is meant to play out: a baffling crime, followed by a dogged investigation, an ingenious solution—then, if you're lucky, a twist in the tale. But this is a true story, not a work of fiction. It's about real people, in a real",": six guests and one host.
The host was a man named Tony Gallo. He was a film producer, and he owned the island. He was the one who invited us all there.
The guests were:
Loretta Thurwar, a famous actress.
Katrina Mason, a famous actress.
Jill Darvish, a famous actress.
Sloane Sutherland, a famous actress.
Rune Macrae, a famous actor.
And me.
My name is Harriet Sloane. I was a famous actress.
I was also the only one"
"large one, you'll need it—as you settle down, and I begin.
I ask you not to interrupt too much, at least not at first. There will be plenty of opportunity for debate afterward. For now, I request you politely hear me out—as you might indulge a friend's rather lengthy anecdote.
It's time to meet our cast of suspects—in order of importance. And therefore, for the moment, I must reluctantly remain offstage. I'll hover in the wings, waiting for my cue.
Let us begin—as we should—with the star.
Let's begin with Lana.
Lana Farrar was a movie star.
Lana was a big star. She became a star when she was very young, back in the days when stardom still meant something—before anyone with an internet connection could become a celebrity.
No doubt many of you will know her name or have seen her movies. She made too many to mention. If you're anything like me, one or two of them are very dear to your heart.
Despite retiring a decade before our story begins,","Lana's fame endured—and no doubt long after I am dead and forgotten, as though I never existed, Lana Farrar will be remembered; and rightly so. As Shakespeare wrote about Cleopatra, she has earned her ""place i' the story.""
Lana was discovered at the age of nineteen, by the fabled Oscar-winning Hollywood producer Otto Krantz—whom she later married. Until his untimely death, Otto dedicated his considerable energy and clout to furthering Lana's career—designing entire movies as showcases for her talents","Lana was still a big deal. She was still a household name. She was still a star.
Lana was a movie star.
Lana was a big star.
Lana was a movie star.
Lana was a big star.
Lana was a movie star.
Lana was a big star.
Lana was a movie star.
Lana was a big star.
Lana was a movie star.
Lana was a big star.
Lana was a movie star.
Lana was a big star.
Lana was a movie star.
Lana"
"of her movies there. However, once Otto died and she had retired, Lana decided to leave Los Angeles for a fresh start.
But where to go?
Tennessee Williams famously said there is nowhere to go when you retire from the movies—unless you go to the moon.
But Lana didn't go to the moon. She went to England, instead.
She moved to London with her young son, Leo. She bought them a massive house in Mayfair, six stories high. She didn't intend to stay for long—certainly not forever; it was a temporary experiment in a new style of living while Lana worked out what to do with the rest of her life.
The problem was, without her all-consuming career to define her, Lana had the uncomfortable realization that she didn't know who she was—nor what she wanted to do with herself. She felt lost, she told me.
It's hard for those of us who remember Lana Farrar's movies to picture her as being ""lost."" On-screen, she suffered a great deal but did so with stoicism, inner fortitude, and tremendous","guts. She would face her destiny without flinching and go down fighting. She was everything you want in a hero.
In real life, Lana couldn't be more different from her screen persona. Once you got to know her intimately, you began to glimpse another person hidden behind the façade: a more fragile and complicated self. Someone who was much less sure of herself. Most people never encountered this other person. But as this story unfolds, we must keep a lookout for her, you and I. For she holds all its secrets.
This discrep","grace. She was a woman of strength and dignity.
But off-screen, she was a different person. She was a woman who had been raised in a series of foster homes, who had been married and divorced three times, who had been a mother and a widow, who had been a movie star and a recluse. She was a woman who had been through a lot, and she was still trying to figure out who she was.
She was a woman who had been through a lot, and she was still trying to figure out who she was.
Lana was a woman who had been"
"? Was it their conversation the other day? It was just an amicable chat about his future, wasn't it?
Or was it far more complicated?
Another spot of rain distracted her. Lana glared resentfully at the clouds. No wonder she couldn't think straight. If only she could see the sky … see the sun.
As she made her way home, her mind played on this idea of escaping the weather. Here, at least, something could be done.
How about a change of scene? It was Easter next weekend. What if they took a last-minute trip—in search of sunshine?
Why not go to Greece, for a few days? To the island?
Why not, indeed? It would do them good—Jason, Leo, and Lana in particular. She could invite Kate and Elliot, too, she thought.
Yes, that would be fun. Lana smiled. The promise of sunlight and blue skies instantly brightened her mood.
She pulled her phone out of her pocket.
She'd call Kate straightaway.
Kate was in the middle of a rehearsal.
","She was due to open in just over a week, at the Old Vic—in a new, highly anticipated production of Agamemnon, the tragedy by Aeschylus. Kate was playing Clytemnestra.
This was the first run-through of the play in the actual theater, and it was not going well. Kate was still struggling with her performance—more specifically, with her lines; which, at this late stage of the game, was not a good sign.
""For Christ's sake, Kate,"" yelled the director, Gordon, from the stalls, in his","'I'm sorry, Lana,' she said, 'but I can't talk now. I'm in the middle of a rehearsal.'
'Oh, sorry,' Lana said. 'I'll call you back.'
'No, no, it's fine,' Kate said. 'I'm just in the middle of a scene. I'll call you back when I'm done.'
'Okay, thanks.'
'Bye.'
Lana hung up and waited.
She was about to call again when her phone rang.
'Hi, Lana"
". In her own way, Kate was every inch as attractive as her American friend. Unlike Lana, she used a great deal of makeup; heavy use of eyeliner and several layers of thick black mascara accentuating her big eyes. The mascara never came off, to my knowledge; I think she just added a layer or two daily.
Kate's whole look was more ""actressy"" than Lana's—lots of jewelry, chains, bracelets, scarves, boots, big coats. It's as if she were doing everything she could to be noticed. Whereas Lana, who in many ways was truly extraordinary, always dressed in as simple a manner as possible—as if drawing undue attention to herself would be in bad taste, somehow.
Kate was a dramatic person; larger-than-life, with a restless energy. She drank and smoked constantly. In this, and every other regard, I suppose, Lana and Kate must be regarded as opposites. Their friendship was always a bit of a mystery to me, I'll admit. They seemed to have so little in common,","yet were the very best of friends—and had been for a long time.
In fact, of all the several intertwining love stories in this tale, Lana and Kate's relationship was the earliest, endured the longest—and was perhaps the saddest of all.
How did two such different people ever become friends?
I suspect youth had a lot to do with it. The friends we make when young are rarely the kind of people we seek out later in life. The length of time we have known them accords them a kind of nostalgia in our eyes, if you will; an indul","and yet they were inseparable.
I'm not sure how they met. I think it was at a party, but I'm not sure. I do know that they were both in the same acting class at the Actors Studio, and that they were both in the same play, The Crucible, in 1953.
I was in the play, too, but I was only a bit player. I was the town drunk, and I had one line. I was so nervous that I forgot it.
I was twenty-one years old, and I was still a virgin"
"her stuff. She was still moving into the star's dressing room, and it was a mess: half-unpacked bags, makeup and clothes everywhere.
The first thing Kate did in any dressing room was light the jasmine candle she always bought, for good luck, and to banish that stuffy backstage smell of stale air, old wood, carpet, damp exposed brick—not to mention the sneaky cigarettes she would puff on out the window.
Having relit the candle, Kate rummaged inside her bag, pulling out a bottle of pills. She shook a Xanax into her hand. She didn't want the whole pill, just a little bit, a nibble—to take the edge off her anxiety. She broke it in half, then bit off a quarter. She let the fragment of bitter pill dissolve on her tongue. She rather enjoyed the harsh chemical taste of it; she imagined the nasty taste meant it was working.
Kate glanced out the window. It was raining. It didn't look heavy—it might brighten up soon. She'd go for","a walk along the river. A walk would be good. She needed to clear her head. She had so much on her mind; she felt quite dizzy with it all.… So much ahead—so much to think about, to worry about—but she couldn't bear to face it just now.
Perhaps a drink would help. She opened the little fridge under the dressing table and took out a bottle of white wine.
She poured herself a glass and perched on the dressing table. And she lit a cigarette, strictly against theater rules, punishable by death","a walk. She'd go for a walk and get some air.
She put on her coat and went out into the corridor. She was about to head downstairs when she heard a voice.
'Kate?'
She turned. It was a man's voice.
'Kate?'
She looked up and down the corridor. She couldn't see anyone.
'Kate?'
She looked up.
'Kate?'
She looked up again.
'Kate?'
She looked up.
'Kate?'
She looked up.
'K"
"entric.
The nearest inhabited island was Mykonos—twenty minutes away by boat. So, naturally, this was where Otto went in search of a caretaker for Lana's island. But finding one proved harder than expected. No one, it seemed, was prepared to live on the island, not even for the generous wage being offered.
It wasn't just that the caretaker would have to endure an isolated and lonely life. There was also a myth—a local ghost story—that the island had been haunted since Roman times. It was considered bad luck to set foot on the island, let alone live there. A superstitious lot, these Mykonians.
In the end, there was only one volunteer for the job: Nikos, a young fisherman.
Nikos was about twenty-five—and recently widowed. He was silent and somber. Lana told me she thought he was seriously depressed. All he wanted, he told Otto, was to be alone.
Nikos was barely literate and spoke only broken English—but he and Otto managed to make themselves understood, often employing elaborate hand gestures.","No contract was drawn up, just a handshake.
And, from then on, all year round, Nikos lived alone on the island. Caretaker of the property—and unofficial gardener. There wasn't much of a garden, initially. He was living there for a couple of years before he started growing vegetables—but when he did, it was with immediate success.
The following year, Otto, inspired by Nikos's efforts, arranged for a small orchard to be imported from Athens—hanging on ropes, suspended from helicopters—apple, pear","Otto showed him the island on a map and explained that he would be paid to live there and look after the house. Nikos nodded. He seemed to understand.
""You'll be paid every month,"" Otto said. ""And you'll have a boat to use. You'll be able to fish and sell your catch in Mykonos.""
Nikos nodded again.
""You'll have to keep the house clean and tidy,"" Otto said. ""And you'll have to keep the garden in good order. You'll have to keep the generator running. You'll have"
", Lana and Otto were told, had once housed an intimate theater, a small auditorium, used for private performances.
A nice story—if a little contrived, in my opinion. I couldn't help but suspect it was invented by an overzealous real estate agent, hoping to pique Lana's imagination. If so, it worked. Lana was instantly captivated: she always called the ruin ""the theater"" from then on.
For a while, she and Otto revived this ancient tradition: performing sketches and playlets at the ruin in the summer evenings, written and acted by the family and their guests. A practice that was mercifully abandoned long before I ever went to the island. The prospect of having to indulge visiting movie stars in their amateur dramatics is, frankly, more than I could bear.
Apart from the ruin, only a handful of structures were on the island—both fairly recent: a caretaker's cottage, where Nikos resided; and the main house.
The house was in the middle of the island—a sandstone monster, over a hundred years old",". It had pale yellow walls, a red terra-cotta roof, and green wooden shutters. Otto and Lana added to it, extending it, renovating the more dilapidated areas. They built a swimming pool and a guesthouse in the garden; and a stone jetty on the most accessible beach, where they kept their speedboat.
It's hard to describe how lovely the island is—was? I'm struggling a little with my tenses here. I'm not where sure I am—the present, or the past? I know where I would be, given half",", with a steeply pitched roof and a tower at one end. It was a strange, angular building, with a lot of sharp angles and corners, and a lot of windows. It was a house that seemed to be looking out at the world, rather than in.
The house was built in the style of the time, with a lot of wood and stone, and a lot of glass. It was a house that seemed to be looking out at the world, rather than in.
The house was built in the style of the time, with a lot of wood and stone, and a lot of glass. It"
"not, these days, sadly, budget airlines.
And so it is here, at a distinctly down-to-earth check-in desk at Gatwick Airport, that I enter this story. As you know, I've been waiting impatiently to introduce myself. Now at last, we can get properly acquainted.
I hope I won't prove disappointing as a narrator. I like to think I'm considered decent company—fairly entertaining; pretty straightforward, good-natured; even occasionally profound—once I've bought you a few drinks, that is.
I'm about forty years old, give or take a year or two. I'm told I look younger. That's down to my refusal to grow up, no doubt—never mind grow old. I still feel like a kid inside. Doesn't everyone?
I'm about average height, perhaps a bit taller. I have a slim build, but not as razor-thin as I used to be. I used to vanish if I turned sideways. That had a lot to do with cigarettes, of course.","I've got it under control now, just the odd joint and the very occasional cigarette, but during my twenties and early thirties, my God, I had a fierce tobacco habit. I used to exist solely on smoke and coffee. I was skinny, wired, edgy, and anxious. What a joy I must have been to be around. I've calmed down now, thankfully.
That's the only good thing I'll say about getting older. I'm finally calming down.
I have dark eyes and dark hair, like","I've given up smoking now, but I still have the habit of holding my breath when I'm nervous. I'm not sure if that's a good thing or a bad thing.
I have a face that's not unattractive, but not exactly handsome either. I've been told I have a nice smile, but I'm not sure I believe it. I'm not sure I believe in smiling at all. I'm not sure I believe in anything.
I have a scar on my left cheek. It's not a bad scar, but"
"?
In case I am speaking to a young person now, let me give you something to hold on to: do not despair at being different. For that very difference, initially such a source of shame, so humiliating, and painful, will one day become a badge of honor and pride.
The reality is, these days, I am proud to be different—I thank God I am. And even when I was a child, and full of self-loathing, I sensed another world was out there. A better world, where I might belong. A brighter world—beyond the darkness, lit by spotlights.
What am I talking about? The theater, of course. Think of that moment the auditorium darkens, the curtain glows, the audience clears its collective throat, settling down, tingling with anticipation. It's magic, pure and simple; more addictive than any drug I ever tried. I knew from a young age—glimpsing it on school trips to plays by the Royal Shakespeare Company, the National Theatre, or West End matinees—that I had to belong to this world.
Also I","understood, just as clearly, that if I wanted to be accepted by this world, if I wanted to fit in, I had to change.
Who I was simply wasn't good enough. I had to become someone else.
It seems absurd, writing that now—even painful—but I believed it then, with all my heart. I believed I had to change everything about me: my name, my appearance, how I carried myself, how I spoke, what I talked about, thought about. To be part of this brave new world, I needed to become a different person—a better one.
And",was a loner. I didn't have many friends. I was a bit of a misfit. I was a bit of a dreamer. I was a bit of a weirdo. I was a bit of a freak. I was a bit of a geek. I was a bit of a nerd. I was a bit of a dork. I was a bit of a dweeb. I was a bit of a loser. I was a bit of a dud. I was a bit of a schmuck. I was a bit of a schnook. I was a bit
