prefix,suffix
"That Veronica and I were given keys and told to come early on a frozen Saturday in April to open the school for the Our Town auditions was proof of our dull reliability. The play's director, Mr. Martin, was my grandmother's friend and State Farm agent. That's how I was wrangled in, through my grandmother, and Veronica was wrangled because we did pretty much everything together. Citizens of New Hampshire could not get enough of Our Town. We felt about the play the way other Americans felt about the Constitution or the ""Star-­Spangled Banner."" It spoke to us, made us feel special and seen. Mr. Martin predicted a large turnout for the auditions, which explained why he needed use of the school gym for the day. The community theater production had nothing to do with our high school, but seeing as how Mr. Martin was also the principal's insurance agent and very likely his friend, the request was granted. Ours was that kind of town.We arrived with our travel mugs of coffee and thick paperback novels, Firestarter for Veronica and Doctor Zhivago for me. I liked school","fine but hated the gym and everything it stood for: team sports, pep rallies, vicious games of kickball, running in circles when it was too cold to go outside, formal dances, graduations. But on that Saturday morning the place was empty and strangely beautiful. The sunlight poured in through the narrow windows just below the roofline. I don't think I'd ever realized the gym had windows. The floors and the walls and the bleachers were all made of the same strips of pale wood. The stage was on one end behind the basketball ho"
"because Veronica could read my mind, ""and all the men and women merely want to be players.""I accepted a résumé and headshot from the father of my friend Marcia, which she pronounced Mar-­see-­a. I had sat at this man's dinner table, ridden in the back seat of his station wagon when he took his family for ice cream, slept in the second twin bed of his daughter's rose-­pink bedroom. I pretended not to know him because I thought that was the kindest course of action.""Laura,"" he said, smiling with all his teeth. ""Good morning! Some sort of crowd.""I agreed that it was, then gave him his number and the sides and told him to go back out to the lobby to wait.""Where's the restroom?"" he asked.It was mortifying. Even the men wanted to know where the restroom was. They wanted to fluff up their hair that had been flattened by sock hats. They wanted to read their part aloud to themselves in the mirror to see how they looked. I told him the one by the Language Arts Center would be less crowded.""","You girls look busy,"" my grandmother said. She came up from behind us just as Marcia's father walked away.""Do you want a part?"" Veronica asked her. ""I know people. I can make you a star."" Veronica loved my grandmother. Everyone did.""I'm just here to take a look."" My grandmother glanced back to the table in front of the stage to indicate that she would be sitting with Mr. Martin and the theater people. My grandmother, who owned Stitch-­It, the alterations shop in town, had volunteered to"
"copy of Doctor Zhivago. This had always been the plan: they would audition and I would read, and when we got bored Veronica and I would swap our posts so she could read. Mr. Parks was nowhere near the end of the page. The good thing about Doctor Zhivago was that the plot was sufficiently convoluted so as to require all of my brain. I didn't much like the novel but I wanted to see what would happen to Lara. Still, by the sixth time some aspiring Stage Manager announced that the sun had come up, I realized Pasternak was no match for my circumstances and I turned my chair around.One after the other, the Stage Managers walked out onto the proscenium and began. The awkward ways these men held their bodies, and how the paper trembled in their hands, were things no high school girl should ever see. Some of them had decent voices, but tip them off the side of a boat and they would go down like anchors. Zero buoyancy. Others were okay in their bodies, pacing around with one hand stuffed in a pocket, but they sounded out each word phonetically. The dichotomy was neck","-­up neck-­down: Some had one and some had the other, but no one managed both and several managed neither. Put together, the Stage Managers were a car crash, a multiple-­vehicle pileup, and I could not look away.Despite all evidence, it was nearly springtime in New Hampshire. My junior year was seven weeks from its completion but I kept thinking that this was the first day of my true education. None of the books I'd read were as important as this, none of the math tests or history papers had taught me how to act, and by"
"asks. ""What does sewing have to do with Duke?""My girls have directed me to start the story at the beginning when they have no interest in the beginning. They want to hear the parts they want to hear with the rest cut out to save time. ""If you think you can do a better job then tell the story yourself,"" I say, standing, though not in a punitive way. I stretch my hands up over my head. ""The three of you can tell it to one another."" God knows there's work to be done around here.""Shush,"" Nell says to her sisters. She pats the sofa. ""Come here,"" she says to me. ""Come back. We're listening."" Nell knows how to move people around.Emily, the eldest, sweeps her magnitude of silky dark hair over one shoulder. ""I just thought this was going to be about Duke. That's all I'm saying.""""Stop flipping your hair,"" Maisie says, irritated. Maisie had her father cut her hair short in the spring and she misses it. Her little dog Hazel stands up, turns three awkward circles on the couch then falls over into a comfortable","ball. They tell me they're ready.All three girls are in their twenties now, and for all their evolution and ostensible liberation, they have no interest in a story that is not about a handsome, famous man. Still, I am their mother, and they understand that they will have to endure me in order to get to him. I take back my place on the sofa and begin again, knowing full well that the parts they're waiting to hear are the parts I'm never going to tell them.""Duke,"" Emily says. ""We're ready."""""
"timid, he was quietly protective. The third one—­who knew how she managed it so quickly—­started to cry. Just a few tears at first, impressive really, but then she lost control of herself and was bawling. ""George, please don't think of that. I don't know why I said it—­""George pulled out his handkerchief. Did they all carry one? He dabbed at her face, making a single shushing sound that somehow, miraculously, shushed her. At the back of the gym I shivered.Many of the Georges who followed read their lines as if they were trying out for Peter Pan. The older they were, the more they leapt in a scene that did not call for leaping. The Emilys were tremulous, emotive, cramming the breadth of human experience into every line. They were Angry and Sorry and Very Moved. I started to wonder if the part was more difficult than I'd imagined.Listen to yourself, I wanted to call out from the back of the gym. Listen to what you're saying.A mediocre George could","stay through three or four Emilys simply because he was needed, though if he was hopeless he stayed for only one. The Stage Managers had embarrassed me, and the Georges, at least after the first one, bored me, but the Emilys irritated me deeply. They were playing the smartest student in her high school class as if she were a half-­wit. Emily Webb asked questions, told the truth, and knew her mind, while these Emilys bunched up their prairie skirts in their hands and mewled like kittens. Didn't"
"down. But Veronica almost never got to go out at night because her mother was a nurse who worked the second shift and her stepfather was long gone and she had to look after her brothers. We both had two brothers, yet another bond between us, though mine were much older and hers, technically half brothers, were little kids. If it hadn't been for those brothers, Veronica would have made a truly great Emily.""Really?"" she asked me.I nodded, handing her the camera. She stood to take the clip out of my hair.""You have to go last,"" she said. ""No jumping line. If Jimmy's still around he can read with you.""Jimmy looked me dead in the eye and reached out his hand. We shook on it. ""No place I'd rather be,"" he said.I went back down the hall and took my seat. I didn't want anyone to think I was getting preferential treatment, which, of course, I was. I didn't have to run to the bathroom with Veronica to know what she was doing. Mr. Martin needed to find an Emily in a field with no contenders. All his hopes would be","pinned on whatever girl came last. I had audited over four hours of AP acting classes, which didn't mean I knew how to act, but I sure as hell knew how not to. All I had to do was say the words and not get in the way.When the last pair had gone and it was just me and Veronica and Jimmy-­George in the hall, I asked Veronica to braid my hair.Jimmy-­George shook his head and Veronica agreed with him. ""It's prettier down,"" she said.I was wearing jeans and du"
". She avoided me through all the rehearsals and then the play, wouldn't sit with me at lunch, wouldn't look at me, but when we came back in the fall for our senior year we were fine again.""And Jimmy was George?"" Emily asks.""Clearly, Jimmy was George,"" Maisie says.""Jimmy was George,"" I say.""Was he as good a George as Duke?"" Emily asks. Oh, the look that comes over her when she says Duke's name. I wish I'd had the wherewithal to lie about everything, continuously, right from the start.""Duke never played George.""Maisie raises a hand to object. ""Who was he then?""""He was Mr. Webb.""""No,"" Nell says. ""No. At Tom Lake? Duke was George.""""I was there. None of you were born.""""But all three of us can't have it wrong,"" Emily says, as if their math outweighs my life.""You remember it that way because it makes a better story if Duke was George and I was Emily. That doesn't means it's true.""They mull on this for","a minute.""But that means he played your father,"" Maisie says.As if on cue, their own father walks in the back door, his pants bristling with chaff. Hazel raises her head and barks until Maisie shushes her. Hazel barks at the entrance of any man.""Workers,"" he says to us, clapping his hands. ""Go to bed.""""Daddy, we're old,"" says Nell, the youngest. ""You can't send us to bed.""Emily, our farmer, Emily, who plans to take all"
"t known Ripley's niece before the play, and even after a slew of rehearsals and three performances I still wouldn't say I knew her. She played my mother-­in-­law, and like every other girl in that production, Rae Ann had wanted to be Emily and so held my success quietly against me. That she won the role of Mrs. Gibbs spoke in her favor, and that she was completely flat in the part was hardly her fault. It's tough for a nineteen-­year-­old to be successful as a middle-­aged mother pantomiming the feeding of chickens. Ripley cut her plenty of slack and still, he never turned his eyes to her. He hugged her after the curtain call and told her she was magnificent, then sent her off to the cast party with her mother, saying he would be along shortly. He loitered in the hallway with his coat, and when a girl came along he asked her where he could find Emily.Nineteen eighty-­four was nothing like what Orwell had envisioned and still it was a world nearly impossible to explain",". A strange man in a suit knocked on the door to the dressing room before I'd had the chance to change back into my own clothes, and when I stuck out my head he said he wanted to talk to me and could we go somewhere quiet for a minute? I said sure, like a child taking instructions from an adult, which was the case. A small rehearsal room down the hall had a piano in it and a couch and a couple of folding chairs. I knew no one would be in there so late. I opened the door and ran my hand over the cold cinder block"
"can't protect you now.""3""Good night, good night, good night,"" they sing, knocking against one another purposefully on the stairs. The three of them are younger when they're together. They regress.""Mama's going to California to be a movie star,"" Nell says to her sisters. ""And we'll still be locked up on the farm.""""At least someone got out,"" Emily says.I promise to tell them all about it tomorrow.Maisie yawns, stretching up her hands to touch the doorframe, Hazel at her heel. Hazel is some kind of yellow terrier with a crooked front leg and fine, irregular hair that stands up in patches. Maisie got her from the animal-­control shelter where she worked during her second semester of veterinary school. The staff labeled the cages with folksy names—­Opie and Sparky and Goober and Bear—­subliminal promises of how good these dogs would be. Hazel had long been kenneled in a row of enormous brutes who bit the metal bars day and night in hopes of eating her, and Hazel in turn picked","up so many bad habits that one of the staff had scrawled the word ""WITCH"" above her name with a fat black Sharpie. Those bad habits, along with the bum leg and what appeared to be mange, had rendered her unadoptable, and after several weeks at the shelter, Maisie saw the tag on Witch Hazel's kennel indicating her time was up. She kept going back to slip biscuits between the bars. Last biscuits.""Watch your fingers,"" her supervisor had said when Maisie announced her plan to take Hazel home"
"before, not in her entire life, and maybe that was true, but it was also true that that was just the way Jimmy-­George looked at people. Onstage he looked at me like someone had dropped a giant Mason jar over us and we were alone in the world. He was the one who taught me how not to look away.""We should be spending time together,"" he said one night after rehearsal. ""You know, be George and Emily, have a strawberry phosphate or something.""But we were George and Emily and Veronica. ""I don't think so,"" I said.""I thought you liked acting,"" he said. ""I'm just talking about us being more convincing.""I told him that I thought we were pretty good already, when what I should have said was, Back up. He stood much closer when we weren't on the stage, when no one else was around.He touched one finger to the side of my neck. ""Chemistry,"" he said. ""That's what George and Emily have.""I couldn't say he was wrong about that. I hedged for a couple of days before climbing into his car, telling","myself this thing between us was all in the name of theater. We passed Mr. Martin in the parking lot one night while he was standing beneath a street light in a wool hunting jacket, smoking a cigarette. I could tell he was trying to calculate the potential for damage.""Fifteen will get you twenty, Mr. Haywood,"" he said finally, his voice neither leering nor scolding, just a helpful piece of information passed along. Jimmy's last name was Haywood.Jimmy-­George removed his hand from my waist and laughed, so I laughed too"
