prefix,suffix
"Back in 1961, when women wore shirtwaist dresses and joined garden clubs and drove legions of children around in seatbeltless cars without giving it a second thought; back before anyone knew there'd even be a sixties movement, much less one that its participants would spend the next sixty years chronicling; back when the big wars were over and the secret wars had just begun and people were starting to think fresh and believe everything was possible, the thirty-year-old mother of Madeline Zott rose before dawn every morning and felt certain of just one thing: her life was over.
Despite that certainty, she made her way to the lab to pack her daughter's lunch.
Fuel for learning, Elizabeth Zott wrote on a small slip of paper before tucking it into her daughter's lunch box. Then she paused, her pencil in midair, as if reconsidering. Play sports at recess but do not automatically let the boys win, she wrote on another slip. Then she paused again, tapping her pencil against the table. It is not your imagination, she wrote on a third. Most people are","awful. She placed the last two on top.
Most young children can't read, and if they can, it's mostly words like ""dog"" and ""go."" But Madeline had been reading since age three and, now, at age five, was already through most of Dickens.
Madeline was that kind of child—the kind who could hum a Bach concerto but couldn't tie her own shoes; who could explain the earth's rotation but stumbled at tic-tac-toe. And that was the problem. Because while musical prodigies are always celebrated,"
","" he finally said. ""But all the nurse roles have been cast.""
""I beg your pardon?"" she snapped.
There was a long pause.
""Amanda Pine,"" she repeated.
He blinked. ""My daughter? Oh,"" he said, suddenly nervous. ""What about her? Are you a doctor? Are you from the school?"" He leapt to his feet.
""Good god, no,"" Elizabeth replied. ""I'm a chemist. I've come all the way over here from Hastings on my lunch hour because you've failed to return my calls."" And when he continued to look baffled, she clarified. ""Hastings Research Institute? Where Groundbreaking Research Breaks Ground?"" She exhaled at the vacuous tagline. ""The point is, I put a great amount of effort into making a nutritious lunch for Madeline—something that I'm sure you also strive to do for your child."" And when he continued to stare at her blankly, she added, ""Because you care about Amanda's cognitive and physical development. Because you know such development is reliant on","offering the correct balance of vitamins and minerals.""
""The thing is, Mrs. Pine is—""
""Yes, I know. Missing in action. I tried to contact her but was told she lives in New York.""
""We're divorced.""
""Sorry to hear, but divorce has little to do with lunch.""
""It might seem that way, but—""
""A man can make lunch, Mr. Pine. It is not biologically impossible.""
""Absolutely,"" he agreed, fumbling with a chair. """
"goes from normal topics like work or weather to long, pointless stories about boats, blisters, oars, grips, ergs, feathers, workouts, catches, releases, recoveries, splits, seats, strokes, slides, starts, settles, sprints, and whether the water was really ""flat"" or not. From there, it usually progresses to what went wrong on the last row, what might go wrong on the next row, and whose fault it was and/or will be. At some point the rowers will hold out their hands and compare calluses. If you're really unlucky, this could be followed by several minutes of head-bowing reverence as one of them recounts the perfect row where it all felt easy.
—
Other than chemistry, rowing was the only thing Calvin had true passion for. In fact, rowing is why Calvin applied to Harvard in the first place: to row for Harvard was, in 1945, to row for the best. Or actually second best. University of Washington was the best, but University of Washington was in Seattle and Seattle had a reputation for rain. Calvin hated","rain. Therefore, he looked further afield—to the other Cambridge, the one in England, thus exposing one of the biggest myths about scientists: that they're any good at research.
The first day Calvin rowed on the Cam, it rained. The second day it rained. Third day: same. ""Does it rain like this all the time?"" Calvin complained as he and his teammates hoisted the heavy wooden boat to their shoulders and lumbered out to the dock. ""Oh never,"" they reassured him, ""Cambridge is usually quite balmy"
"—and when he did finally find her, she seemed not to remember him.
""Yes?"" she said, turning to see who had entered her lab, a large pair of safety glasses magnifying her eyes, her hands and forearms wrapped in large rubber mitts.
""Hello,"" he said. ""It's me.""
""Me?"" she asked. ""Could you be more specific?"" She turned back to her work.
""Me,"" Calvin said. ""Five floors up? You took my beakers?""
""You might want to stand back behind that curtain,"" she said, tossing her head to the left. ""We had a little accident in here last week.""
""You're hard to track down.""
""Do you mind?"" she asked. ""Now I'm in the middle of something important.""
He waited patiently while she finished her measurements, made notations in her book, reexamined yesterday's test results, and went to the restroom.
""You're still here?"" she asked, coming back. ""Don't you have work to do?""
""Tons.""
""You can't have your beakers back.""
","""So, you do remember me.""
""Yes. But not fondly.""
""I came to apologize.""
""No need.""
""How about lunch?""
""No.""
""Dinner?""
""No.""
""Coffee?""
""Listen,"" Elizabeth said, her large mitts resting on her hipbones, ""you should know you're starting to annoy me.""
Calvin looked away, embarrassed. ""I sincerely beg your pardon,"" he said. ""I'll go.""
—
""Was that Calvin Evans"
"cept, possibly, UCLA, who loved him because the man published more papers than anyone in the field. Meyers's secret? He didn't write the papers—his graduate students did. But he always took full credit for every word, sometimes only changing the title and a few phrases here and there before passing it off as an entirely different paper, which he could do because who reads a scientific paper all the way through? No one. Thus his papers grew in number, and with them, his reputation. That's how Meyers became a top DNA researcher: quantity.
Besides his talent for superfluous papers, Meyers was also famous for being a lecher. There weren't many women in the science departments at UCLA, but the few there were—mostly secretaries—became the focus of his unwanted attention. They usually left after six months, their confidence shaken, their eyes swollen, citing personal reasons. But Elizabeth did not leave—she couldn't, she needed the master's. So she endured the day-to-day degradations—the touches, the lewd comments, the rank suggestions—while making it clear she had","no interest. Until the day he called her into his office, ostensibly to talk about her admittance to his doctoral program, but instead shoving his hand up her skirt. Furious, she forcibly removed it, then threatened to report him.
""To whom?"" he laughed. Then he admonished her for being ""no fun"" and swatted her bottom, demanding that she go fetch his coat from his office closet, knowing that when she opened the door she would find it lined with pictures of topless women, a few splayed, expressionless, on"
"ers's handprint was outlined in a light purple. She choked back the urge to vomit.
She looked up in time to see him checking his watch. That small movement was all it took. She reached out and snatched her ID card back from between his fingers. ""Yes, Officer,"" she said, her voice as taut as prison wire. ""Now that I think about it, I do have one regret.""
""Much better,"" he said. ""Now we're getting somewhere."" He clicked his pen back open. ""Let's hear it.""
""Pencils,"" she said.
""Pencils,"" he repeated, writing it down.
She raised her head to meet his eyes, a rivulet of blood coursing from her temple. ""I regret not having more of them.""
—
The attack, or ""unfortunate event,"" as the admissions committee called it just before they formally rescinded her admittance to the doctoral program, had been her doing. Dr. Meyers had caught her cheating. She'd tried to change a test protocol to skew the experiment's results—he had the proof right here—and","when he'd confronted her, she'd thrown herself at him, offering sex. When that didn't work, a physical fight ensued and before he knew it, he had a pencil in his gut. He was lucky to be alive.
Almost no one bought this story. Dr. Meyers had a reputation. But he was also important, and UCLA had no intention of losing someone of his stature. Elizabeth was out. Her master's was complete. Her bruises would heal. Someone would write her a recommendation. Go.
That's how she'"
"""I was on a date,"" he said. ""Can you imagine? I left her there.""
""No,"" she said, trying to remember the last time she'd even had a date.
They were silent for a few minutes, then he closed his eyes. She took this as her cue to leave.
""Again, so sorry,"" he whispered, as he heard her make her way to the door.
""Please. There's no need to apologize. It was a reaction, a chemical incompatibility. We're scientists. We understand these things.""
""No, no,"" he said weakly, wanting to clarify. ""I mean about assuming you were a secretary that day—about telling you to have your boss call me,"" he said. ""I am so sorry.""
To this she had no response.
""We've never been formally introduced,"" he said. ""I'm Calvin Evans.""
""Elizabeth Zott,"" she answered, gathering her things.
""Well, Elizabeth Zott,"" he said, managing a small smile, ""you're a lifesaver.""
But it was clear she hadn't heard.
—
","""My DNA research focused on polyphosphoric acids as condensing agents,"" she told Calvin over coffee in the cafeteria the following week. ""And it's been going well up until now. As of last month, I've been reassigned. To an amino acid study.""
""But why?""
""Donatti—don't you work for him, too? Anyway, he decided my work was unnecessary.""
""But condensing agent research is critical to further understanding of DNA—""
""Yes, I know, I know,"" she agreed. ""It"
"secretarial remark, and again for the vomit.""
Elizabeth continued to sit silently. Against her better judgment, she felt herself warming to the idea. She didn't want to: she didn't like the notion that systems had to be outsmarted. Why couldn't they just be smart in the first place? And she certainly didn't like favors. Favors smacked of cheating. And yet she had goals, and dammit, why should she just sit by? Sitting by never got anyone anywhere.
""Look,"" she said pointedly, as she brushed a strand of hair off her face. ""I hope you won't think I'm jumping to conclusions, but I've had trouble in the past and I want to be clear: I'm not dating you. This is work, nothing more. I am not interested in a relationship of any kind.""
""Nor am I,"" he insisted. ""This is work. That's it.""
""That's it.""
And then they gathered their cups and saucers and went off in opposite directions, each desperately hoping the other didn't mean","it.
Chapter 4: Introduction to Chemistry, Lessons in Chemistry
Chapter 4
Introduction to Chemistry
About three weeks later, Calvin and Elizabeth were walking out to the parking lot, their voices raised.
""Your idea is completely misguided,"" she said. ""You're overlooking the fundamental nature of protein synthesis.""
""On the contrary,"" he said, thinking that no one had ever called any of his ideas misguided and now that somehow had, he didn't particularly like it, ""I can't believe how you completely ignore the molecular"
"for her to roll down her window.
""I'm not after your damn lab equipment!"" she barked as she lowered the pane that separated them.
""And I'm not the problem,"" he snapped as he bent down to face her straight on.
Elizabeth looked back at him, fuming. How dare he?
Calvin looked back at her. How dare she?
And then that feeling came over her again, the one she had every time she was with him, but this time she acted on it, reaching out with both hands to draw his face to hers, their first kiss cementing a permanent bond that even chemistry could not explain.
Chapter 5: Family Values, Lessons in Chemistry
Chapter 5
Family Values
Her lab mates assumed Elizabeth was dating Calvin Evans for one reason only: his fame. With Calvin in her back pocket, she was untouchable. But the reason was much simpler: ""Because I love him,"" she would have said if someone asked. But no one asked.
It was the same for him. Had anyone asked him, Calvin would have said Elizabeth Zott was what he tre","asured most in the world, and not because she was pretty, and not because she was smart, but because she loved him and he loved her with a certain kind of fullness, of conviction, of faith, that underscored their devotion to each other. They were more than friends, more than confidants, more than allies, and more than lovers. If relationships are a puzzle, then theirs was solved from the get-go—as if someone shook out the box and watched from above as each separate piece landed exactly right, slipping one into the other, fully interlocked,"
"it? And his earlier education? A boys home in Iowa didn't sound like it provided much in the way of learning. It's one thing to be brilliant, but to be brilliant without opportunity—that was something else. If Mozart had been born to a poor family in Bombay instead of a cultured one in Salzburg, would he have composed Symphony no. 36 in C? Not a chance. How, then, had Calvin come from nothing to become one of the most highly respected scientists in the world?
""You were saying,"" he said, his voice wooden, as he pulled her back down next to him. ""Oregon.""
""Yes,"" she said, dreading the telling of her own story.
""How often do you visit?"" he asked.
""Never.""
""But why?"" Calvin almost shouted, shocked that she could throw away a perfectly good family. One that was still alive anyway.
""Religious reasons.""
Calvin paused, as if he might have missed something.
""My father was a…a type of religious expert,"" she explained.
""A what?""
""A sort of God salesman.""
""I'","m not following—""
""Someone who preaches gloom and doom to make money. You know,"" she said, her voice filling with embarrassment, ""the kind who rants about how the end is near but has a solution—say a specialized baptism or a pricey amulet—that will keep Judgment Day off just a bit longer.""
""There's a living in that?""
She turned her head toward his. ""Oh yes.""
He lay silent, trying to imagine it.
""Anyway,"" she said, ""we had to move a lot because of it"
