prefix,suffix
"She is twelve years old, and she will be married in the morning. Mother and daughter lie on the mat, their wet cheeks glued together.
""The saddest day of a girl's life is the day of her wedding,"" her mother says. ""After that, God willing, it gets better.""
Soon she hears her mother's sniffles change to steady breathing, then to the softest of snores, which in the girl's mind seem to impose order on the scattered sounds of the night, from the wooden walls exhaling the day's heat to the scuffing sound of the dog in the sandy courtyard outside.
A brainfever bird calls out: Kezhekketha? Kezhekketha? Which way is east? Which way is east? She imagines the bird looking down at the clearing where the rectangular thatched roof squats over their house. It sees the lagoon in front and the creek and the paddy field behind. The bird's cry can go on for hours, depriving them of sleep . . . but just then it is cut off abruptly, as though a c","obra has snuck up on it. In the silence that follows, the creek sings no lullaby, only grumbling over the polished pebbles.
She awakes before dawn while her mother still sleeps. Through the window, the water in the paddy field shimmers like beaten silver. On the front verandah, her father's ornate charu kasera, or lounging chair, sits forlorn and empty. She lifts the writing pallet that straddles the long wooden arms and seats herself. She feels her father's"
"Stranded before the altar on her wedding day? Ayo, what shame! Who'll marry her after that?""
He keeps walking. ""She's a good girl,"" Thankamma says. ""Such a good family! Your little JoJo needs someone to look after him. She will be to him as I was to you when you were little. Let her grow up in your household. She needs Parambil as much as Parambil needs her.""
She stumbles. He catches her, and she laughs. ""Even elephants struggle to walk backwards!"" Only she would construe the faint asymmetry on his face as a smile. ""I picked this girl for you, monay. Don't give that broker too much credit. I met the mother, and I saw the girl, even if she didn't know I saw her. Didn't I choose well the first time? Your blessed first wife, God rest her soul, approves. So now, trust your chechi once more.""
The marriage broker confers with the achen, who mutters, ""What kind of business is this?""
The Lord is my rock, and my","fortress, and my deliverer. Her father taught the young bride to say that when she was scared. My rock, and my fortress. A mysterious energy emanating from the altar now settles on her like a surplice, bringing a profound peace. This church is consecrated by one of the twelve; he stood on the ground where she stands, the one apostle who touched Christ's wounds. She feels an understanding beyond imagination, a voice that speaks without sound or motion. It says, I am with you always.
Then the groom's"
"jetty. They crossed a long field dotted with towering coconut palms laden with fruit. Four cows grazed, each tethered on a long rope. They walked through rows of banana trees, the floppy leaves nuzzling and knocking against each other. Bunches of red bananas hung down. The air was perfumed by a chempaka tree. Three well-worn, polished rocks served as stepping-stones across a shallow stream. Further up, the stream broadened into a pond whose banks were overgrown with pandanus shrubs and dwarf chenthengu palms laden with orange-­colored coconuts. An inclined washing stone sat near the pond's edge; Thankamma said that spot was where she should come to bathe. The stream's burble was a sound that augured well. She'd looked for the house when they landed at the jetty, but it wasn't there by the river, so surely it must be by the stream . . . but she saw nothing. ""All this land, over five hundred acres,"" Thankamma said proudly, pointing left and right",", ""is Parambil. Most of it is wild, hilly, not cleared. Of the part that is rough-cleared, only a portion is cultivated. Before your husband tamed it, this was all jungle, molay.""
Five hundred acres. The home she'd known till yesterday sat on barely two.
They'd continued through a trail flanked by tapioca. At last she saw the house, high up on a rise, silhouetted against the light. She stared at what would be her home for the rest of her life. The roof"
"he says, prodding JoJo's belly. ""Happier in the sky than on the ground."" JoJo is pleased to be called the little master.
Shamuel's bare chest is flecked with bark. Still grinning at the thamb'ran's wife, he fastidiously pleats his blue-checked thorthu lengthwise and then drapes it over his left shoulder. She turns shy and drops her eyes, noticing his deformed right big toe, flattened out like a coin, the nail gone.
Thankamma says, ""Aah, Shamuel, please husk three coconuts for us, then. After that, wash up and come eat something. Your new mistress will serve you.""
Shamuel has his own clay dish hanging from a hook under the overhang of the roof at the back of the kitchen and that's where he will eat, on the back steps. Pulayar never enter the house. Sara cooks for him at home, but a meal at the main house spares his store of paddy. After rinsing out his dish, he fills","it with water and drinks it all, and then squats on the step. The bride serves him kanji—soupy rice in its cooking water—with a piece of fish and lime pickle.
""You like it here, then?"" he asks, a big ball of rice bulging his cheek. She stands shyly before him and nods. Her finger absentmindedly traces ആ, the first letter in ãna, or elephant, a letter she thinks somehow manages to resemble an elephant. ""I was younger than you when I came"
"up this stone before this one was born. Now in his old age, Kuttappan Nair must clean up behind his calf, but he'll lift this stone as if it is a toothpick."" He turns his back to them and returns.
The topknot falls forward as the young man bends and tries to lift the stone, grimacing, veins popping out like snakes on his forehead. When he gets it upright, his muscles fail him and his friends rush forward to keep it from crushing him. When he tries to ease it onto his shoulder it sways wildly. They restore the beam, but all three look ruffled and bruised, and the tall one's shoulder bleeds. Her husband sees none of this, arriving beside her, his face thick with anger, terrifying her. With a quick tilt of his head he conveys his thanks for lunch and his need to get back to work. She runs home.
Thankamma takes one look at her face and sits her down. ""Those boys are lucky that he controlled his temper,"" Thankamma says after hearing what happened. Her words are hardly reassuring,","and the cup of water in the bride's hands shakes. ""Molay, don't worry. He'll never be angry without cause. And never at you. He would never mistreat you."" Thankamma puts an arm around her. ""I know this is all new and frightening. When I got married, my husband and I were only ten. He was a naughty brat. We ignored each other. We were just children in a big house, and there were so many of us. The boys were all mean. One time I saw him sitting on a log looking at the"
"brella becomes a halo that goes wherever she goes outdoors, while her bare feet happily slosh through puddles. Shamuel fashions a cap from palmyra bark that allows water to sheet off his head. But rain confines her husband in a way that baffles her; she's not brave enough to probe. She gradually gets accustomed to seeing him sitting for hours and sometimes all day on the verandah like a child forbidden from play, subdued, glowering at the clouds, as though that might persuade them to reverse their course. He has JoJo for company because JoJo is the same way. Once, an unexpected rain squall caught her husband unawares, without an umbrella as he approached the house; the raindrops seemed to make him stagger, his legs turning wobbly as he ran for shelter, as if stones and not water had fallen on his head. Another evening she sees him seated near the well, bathing by soaping and rinsing his body in sections. He doesn't see or hear her; she's tempted to run away but is too mesmerized by this sight of","his body to move. She roils with emotions: guilt for spying on him; a terrible urge to giggle; embarrassment, as if she were the one naked; and a fascination with this sight of her husband fully revealed. He has never looked more powerful and frightening, even if this piecemeal bathing renders him childlike. There's a practiced ease and elegance to his miserliness with water, but the element missing from his movements is pleasure.
Every morning when she reawakens the embers in the hearth, the kitchen welcomes"
"why he has kept his distance since the day of their marriage, saying little, but from afar ensuring her needs and comfort; it isn't indifference but the opposite. He recognizes that he's someone who can so easily make her fearful.
She drops her gaze. Her ability to speak has flown away. But she's been asked a question. He's waiting.
Her legs feel unsteady. She has a strange impulse to go to him, to brush that knotted forearm with her fingers. It's an urge for affection, for human touch. At home she had daily hugs and kisses, her mother's body to warm her at night. Here, but for JoJo, she'd wither to nothing.
She hears his chair scrape back because he has given up on a response. She says softly, ""I miss my mother.""
He raises his eyebrows, perhaps unsure whether he imagined the sound.
""And it would be nice to go to church,"" she says in a voice that is unnaturally loud.
He seems to turn this thought over. Then he rinses","his hands with the kindi, steps down to the muttam, and is gone. Her heart contracts. Foolish, foolish to have asked for so much!
Later that night, once JoJo is asleep, she goes back to the kitchen to clean up, and to cover the embers with a coconut husk, allowing them to survive till morning. Then she returns to the room where she sleeps with JoJo, her heart heavy.
She's startled to see an open metal trunk on the floor. The stack of folded white clothing inside must belong"
"led leaves against the tree to rid them of insects, then folds them onto his lip. As he chews, his trunk swings back down, but then, like a restless, playful schoolboy, he snatches the towel off Unni's shoulder and waves it like a flag before Unni snatches it back.
""If only my Little-Thoma could do all that his trunk does,"" she overhears the blacksmith's boy say, ""I'd reach up and pluck mangoes or even coconuts."" She watches JoJo listening intently, one hand discreetly feeling between his legs. She slips away, hand over her mouth, waiting till she's out of earshot before she collapses with laughter.
That evening she serves her husband the meen vevichathu. He nods approvingly after tasting it. It will soon be five years, but she still worries about her cooking.
""As I was making it, Damo came and put his eye to the kitchen window.""
He laughs and shakes his head. ""Do you have ghee rice I can","take to him tonight?"" His expression is like JoJo's asking for another raw mango.
""But he had one bucket when he came,"" she says.
""Oh, did he? Well, then . . .""
""But I can get more.""
He looks pleased. He clears his throat. ""Damo's never gone to the kitchen before. Means he likes you,"" he says, looking up with a shy, teasing glance. She sets the newspaper down and heads to the kitchen to prepare the ghee rice.
Yes, I know Damo lik"
"mother. She's ashamed for him to know just how impoverished her life had been before her marriage. When she was sixteen, she'd found the courage to beg Shamuel to accompany her on a trip to see her mother; she had Shamuel ask the thamb'ran's permission. The thamb'ran agreed. She'd used Shamuel because she didn't want to put her husband into a position of saying no to her. She wrote to her mother giving her the date of her visit. She had made up her mind that if she found her mother miserable, she would bring her back to Parambil. She could only hope her husband understood; a husband had no obligation to care for his mother-in-law. Two days before she was to leave, her mother's letter came, emphatically forbidding her from visiting, saying it would only make matters worse. Her mother added that her brother-in-law promised that they would all visit Parambil very soon. Of course that never happened.
""I worry about my mother,"" she says at last, weeping, relieved to finally confess what she has kept from him. ""I","know in my bones she is being mistreated, even starved. After my father died, my uncle wasn't kind to us. My mother's letters talk of everything but herself. I can feel her suffering.""
Her husband's anvil-like hand remains on her brow but his face is very still.
The next day, he and Shamuel are gone before she wakes. There's no sign of them all day and by nightfall they have not returned. She is beside herself with worry.
The following afternoon, a bullock cart jolts up the path from the boat"
"isn't ready for him. The ordeal of labor is fresh in her memory. She was left with a tear that is finally less painful, but her body is still offering strange new embarrassments that thankfully seem to diminish with time. It will be a while before she's fully healed. Every month some story reaches her of a birth gone awry, a woman bleeding to death, or a baby stalled during its exit, an event that is fatal to mother and child. ""Thank you, Lord, for bringing me through this unscathed."" She doesn't share with the Lord that she misses the closeness with her husband, misses the excitement of getting on his bed, her heart pounding, and hearing his heart do the same. ""Well, you can't have one without the other,"" she says, but just to herself. There are certain things that God does not need to be told.
The rhythm of Parambil is one of constancy and constant change. JoJo excitedly reports that Georgie's twin brother, Ranjan, along with his wife and three children, appeared in the night with all their worldly possessions. Big Ammachi can","hardly imagine Dolly's plight with so many crammed into her tiny house. Ranjan, like Georgie, was left nothing by his father. He found a decent job as an assistant manager on a tea estate in Coorg. The pay was good, but theirs was a lonely existence in the Pollibetta hills. Something happened that caused the wife to restrain her husband with rope, throw him in a cart, and bring the family down the mountain and eventually descend on Georgie and Dolly Kochamma. The wife, a stout woman with a square jaw, and the habit of sque"
