prompt,true_suffix,response
"ON ANY OTHER DAY THE dead quiet coming from this room would have concerned no one, because the elderly couple usually
napped peacefully, sat stationary as cats, or read their twin King James Bibles in silence, aged fingers turning pages replete
with wisdom, tranquility, and violence.
The latter was on embellished display, for the man was sprawled on the floor on his back, while the woman was draped
across a finely upholstered chair. Life had been rent from them with a grim certainty of purpose.
They were not remarkable in any way that mattered to most. What was memorable was the grand upheaval that would define
and qualify the full measure of their deaths. It would fuel a calamitous surge of energy, like that of a sawed-off shotgun
randomly discharged into an unsuspecting crowd.
Their violent end would be gossiped about in Freeman County, Virginia, for decades.
""You got the right to remain silent. You hear me, boy?"" the first lawman said to the only suspect in the room.","
That suspect was on his knees, his hands shackled behind him, the cuffs cutting deeply into flesh. The only signs of his
granular fear were the trembling of fingers, and the quick exhalations of breath.
""This coon don't look like he can talk even if he wanted to,"" countered the second deputy. He was six feet, cattail-lean, with
a soft jaw and eyes that resembled creased bullet holes. A policeman's hat was tipped far back on his head.
The debilitating humid","""You got the right to remain silent. You got the right to an attorney. You got the right to a fair trial. You got the right to remain silent.""
The man in the chair was a tall, thin, and wiry man in his late twenties. He was dressed in a white T-shirt and jeans. His hair was a mess of dark curls. He was handsome in a way that was hard to define. He had a strong jaw, a straight nose, and a wide mouth. His eyes were a deep brown, and they were wide with fear.
""You"
".""
""Three!"" Gene looked at his partner. ""Boy say he got him three colored babies."" He turned back to the prisoner. ""Okay, now
after they fry your ass over in Richmond I'm gonna go see your pretty wife and your babies with some friends of mine. Now let
me tell you what we gonna do to all them after we finish havin' some fun with her.""
He leaned close and whispered in the prisoner's ear.
The man roared in rage, knocking Gene down with his maddened, gyrating bulk.
The deputy slid across the floor, grinning. He took off his hat, swiped back his hair, and gripped his billy club extra firm. He
rose and headed back to the only suspect in the room, who was now sprawled helplessly on the floor.
Gene said triumphantly, ""Resistin' arrest plain as day. You seen it, LeRoy.""
And he raised the club.
JOHN ROBERT LEE, WHO WENT by Jack to all but his mother, finished pumping Es","so gas into his ancient, four-door Fiat pillarless
saloon car. The front doors opened regularly, back to front, but the rear doors opened front to back. It had a long hood
terminating in a fancy grille with silver cased headlights that sprouted from the front slim fenders like incandescent daisies. Its
four-cylinder engine could hit fifty-three miles an hour with a decent tailwind. He paid over a crisp single and two dull
quarters to the attendant, who was studying the funny-looking car","so gas into the tank of his 1950 Ford and then went inside to pay. He was a tall, thin man with a shock of black hair and a face that was a bit too long for his body. He was twenty-three years old and had been working at the gas station for the past two years. He was a good worker, and the owner, Mr. McGuire, had been pleased to hire him.
Jack had been born in the small town of Drakesville, Virginia, and had lived there until he was twelve. His father had been a farmer, and his mother"
"said again.
His sister edged around the corner from the dining room, where he could see the dinner plates laid out on the small table
purchased years ago on layaway. There was a balloon tethered to a closet door handle, the words ""Happy Birthday"" stenciled
upon it.
""Hey, Lucy girl,"" said Jack.
His elder sister rushed over and gave him a hug that nearly cracked his back. She'd always been strong, and he'd always
believed it was nature's way of balancing out what was missing upstairs.
It had begun with his mother's trip to the dentist to remove a painfully impacted wisdom tooth. She'd been given laughing
gas as a sedative, a term Jack had later learned was for the compound nitrous oxide. Only she hadn't known she was with child
at the time. Eight months later his sister had been born. And a year after that, when Lucy was not developing as she should,
some specialists had diagnosed her with ""severe and irreversible mental retardation,""","or so his daddy had told him years later
when Jack had questions about his sister.
She was now thirty-seven, a grown if physically stunted woman, with the innocent mind of a child. Her blond bangs hung
right above eyes so extraordinarily blue it was the first thing folks noted about her. Jack had the same eyes that she did, only
with something of a different sort behind them.
He kissed the top of Lucy's head and said her dress was very pretty. It was light brown with vivid blue dots that nearly
matched her eye","which was the polite way of saying she
was a vegetable.
""Happy birthday, Lucy,"" he said.
""Happy birthday, Jack,"" she said.
""You're a year older than me,"" he said.
""I'm a year older than you,"" she said.
""You're a year older than me,"" he said.
""I'm a year older than you,"" she said.
""You're a year older than me,"" he said.
""I'm a year older than you,"" she said.
""You're"
"or
made a few bucks in the stock market. Thus, it was rambling and had oddly mitered wings and loose joints.
Jack had read that there had been nearly one hundred slaves on the sprawling plantation once situated here. They and their
progeny had labored all their lives for not one penny in return to make their wealthy owners richer still. Almost nothing had
been recorded about them other than their actual numbers. And that reportage was apparently solely done for the benefit of their
master's ego.
Ashby had six children, all long grown now and with their own families to run. His wife had died many years ago, but not of
illness. Well, Jack supposed it was a sickness to go to your garage, stuff a towel in the tailpipe of your Plymouth, lie across the
front seat dressed in your finest cocktail dress, and, sipping on a Mason jar of Old Fashioned, start the engine, and stay there
until you were dead. Ashby had reputedly focused his final years on imbibing as many bottles of Rebel Yell bourbon whis","key
as he possibly could.
Miss Jessup was Ashby's maid, cook, and nurse; Jack had never known her first name. Years before Jack had been born, she
had gone to work for the lawyer and his family. Now she was probably single-handedly keeping the old man alive.
Growing up, Jack and all the other children in the neighborhood always called the woman Miss Jessup, the only sign of
respect she probably ever received on the western side of Freeman County, and the only attention, too, unless items went
missing and someone was needed to bl","key as
he could, and he'd died of alcohol poisoning.
Jack had been told that Ashby had been a good man, a kind man, a man who'd been a good father and a good husband. But Jack
had also been told that Ashby had been a man who'd been a good father and a good husband to his slaves.
Jack had been told that Ashby had been a good man, a kind man, a man who'd been a good father and a good husband. But Jack
had also been told that Ashby had been a man who'd been"
"lickened road. His father had gone out at near
midnight to remedy the problem. In return he had been given first dibs on the ruined cargo. The Lees had, for years afterward,
been knee-deep in cupcakes and Twinkies off that one doomed shipment. And during each of those years Jack had desperately
wanted to grow up to be a union mechanic.
""Hey, Daddy,"" said Jack.
Francis Lee was known to everyone as Frank, except his wife, who thought the name too juvenile. She always called him
Francis. He was an inch short of his oldest son's height, but he was more heavily built in the shoulders, arms, and chest. Pulling
wrenches for a living had made his forearms as broad as the widest part of his Remington twelve-gauge's wooden stock. He
still had on his work uniform: light blue long-sleeved shirt with a white T-shirt underneath, and dark blue pants. His salt-and-
pepper hair was cut as close to his scalp as","a soldier's, which he had once been, performing his patriotic duty in World War II,
much of it in the Pacific Theater.
Frank Lee never talked about the war, but sometimes Jack had caught him sitting in the TV den, a beer in hand, just staring
off, his unblinking gaze dead on the far wall. Maybe seeing through the cheap wood veneers directly back to Guadalcanal,
Luzon, or the Battle of Okinawa, where the Americans suffered fifty thousand casualties in less than three months.
Jack had only learned about","a Marine's. He was a man who had never been in the military, but he had the bearing of
someone who had.
""Hey, son,"" he said.
""I'm going to be late for school,"" Jack said.
""I know,"" Frank said. ""I'm sorry.""
""It's okay,"" Jack said. ""I'll just have to stay after.""
""I'm sorry,"" Frank said again.
""It's okay,"" Jack said.
""I'm sorry,"" Frank said.
""It's okay,"" Jack said"
"bolt came free. ""She was tryin'
to stick the end of a hanger in the wall socket the other day. Sometimes I think I'll come home from work and find 'em both
stretched out on the floor dead. Lucy from electrocution and your momma from the guilt of lettin' her do it.""
""I know, Daddy. I know.""
""No, I'm not sure you do. Legally, she's not your responsibility. Hell, you're a lawyer, you know that. Now, we can put her
in a state-run nursin' home. But that's surely not your momma's first choice.""
He drew all the remaining juice out of his cigarette and then crushed the remains on the concrete floor with the heel of his
steel-toed work shoe.
Jack said, ""Look, if I can take care of her I will. But some days it seems I can't even take care of myself.""
""You're thirty-three today, Jack. Long past time you figured things out, son.""
""Yes sir,"" said Jack because he could think","of nothing else to say.
His father went back to his bolts and his features relaxed. Jack understood this change. Engines his old man knew intimately;
but dealing with people on such sensitive subjects was probably like being back on Okinawa, all foreign and
incomprehensible.
""Did you see Miss Jessup?"" asked Jack.
""Saw the back of her. She didn't look so good.""
""Maybe she has some legal trouble since she wanted to see me.""
""Don't know what that might be. She's a God-fear","of nothing else to say.
""I'm not saying you're a failure. I'm just saying you're not a success yet. You're still a work in progress.""
""Yes sir.""
""You're a good man, Jack. You're a good man. But you're not a good lawyer. You're not a good husband. You're not a good father. You're not a good son. You're not a good brother. You're not a good friend. You're not a good neighbor. You're not a good citiz"
"?"" The man stood, showing that he was far bigger than either of the Lees.
""We're friends of hers,"" said Jack.
When the men confronted the Lees as they neared the house, the big fellow looked Jack up and down, taking in the suit, tie,
and the froth of whiteness. ""You look like the man. You the man?""
""I don't know what you mean by that,"" said Jack. ""Miss Jessup came looking for me, but I wasn't there. So now I've come
by to see her.""
""What she want with you?""
Frank said, ""We don't want no trouble. If Miss Jessup don't wanna see us, we'll just get back in our car and leave you to it.""
The big man said, ""Ain't no trouble on Tuxedo Boulevard, man. We a fancy-ass place. Ain't you see that?""
It might have been meant partially as a joke, Jack thought, but no one was laughing, least of all him.
Frank said, ""I've been here before.""
""To","dump shit?"" The big man pointed to his left at the end of the street where the road ended and the chain-link gate sat
fronting the county dump. Beyond the gates were enormous humps of dirt, thin membranes over the catacombs of decaying
husks below, the noxious smells of garbage wrapped in red clay hugging all their lungs.
""No, to give Miss Jessup a ride home when the bus wouldn't stop for her.""
""Why you want that old woman in your car?"" said another man, smaller, th","see Miss Jessup?""
""No, to see the doctor.""
""You a patient?""
""No, I'm a friend of the doctor's.""
""You a doctor?""
""No, I'm a friend of the doctor's.""
""You a friend of Miss Jessup's?""
""No, I'm a friend of the doctor's.""
""You a friend of the doctor's?""
""No, I'm a friend of the doctor's.""
""You a friend of the doctor's?""
""No, I'm a"
"'s the finest damn lawyer in all of Freeman County,"" answered his father.
""Now, Mr. Lee, every daddy and momma think they's child is the prettiest and sweetest and smartest in the whole wide
world. But I got to know what I knows. This Pearl's young man."" She turned back to Jack. ""So is you good or not?""
""I'm a good lawyer. I've been practicing eight years.""
""You win your law cases?""
""Most of them, yes. Nobody wins them all.""
""And you take on folks been accused of killin' other folks?""
""Pretty much my entire practice is criminal law,"" replied Jack, without actually answering the question.
""Mr. Ashby said he done tax law before he retired.""
""I've never been much good with numbers.""
""You lawyered for colored folks?"" she asked, her scrutinizing look deepening.
Jack swallowed nervously. ""Um, no. But that . . . doesn't matter to me.""
She snorted. ""Well, it gonna sure matter to Jer","ome.""
""Are you saying he doesn't want a white lawyer?""
""'Course he do. 'Sides, I ain't know any colored lawyers. But my point bein' any lawyer can get a white man off for
anythin', 'specially if he got him some money, and he done somethin' to a colored man. But you got to be as good as the Lord
God Above to get a colored man off, 'specially for killin' white folks. For that you need a white lawyer."" She looked at him
d","emiah. He don't want no colored lawyer.""
""I'm not colored,"" Jack said.
""You ain't white neither.""
""I'm a lawyer. I'm not a person of color. I'm a person of law.""
""You ain't no lawyer to me. You a person of color. And I ain't gonna let you lawyer for my son.""
""I'm not asking to be your son's lawyer. I'm asking to be your son's lawyer.""
""You ain't no lawyer to me,"" she repeated"
"aped. ""How many colored men named Jerome you reckon they got in a cell for killin' two white people in
Madison Heights last Friday? If it's more'n one I'll give up my damn smokes.""
""I guess you're right.""
""Now, just calm down and let's go do this.""
""You're coming?""
""Hell yes I am.""
""Why?""
""'Cause it looks to me like you need somebody with you. And your momma will likely still be up.""
JACK AND HIS FATHER PULLED up to the Freeman County jail, which had been built nearly a century before; there had been no
notable improvements since that time. The walls were brick, tall and thick and topped by rolls of studded barbed wire, with
guard towers set at the corners, where grim, uniformed riflemen perched with orders to shoot dead any prisoner trying to
escape.
The far smaller building next door was the jail for women. There were no riflemen on the walls there. Jack knew the
thinking was no woman would try to escape",". But if they did, the sharpshooters at the men's prison could easily pick them off.
A guard leaned toward the Fiat's window and shined his light in the car. ""What's your business here?"" he asked.
""I'm a lawyer here to see a client,"" said Jack.
""Visiting hours over a long time ago.""
""I'm not a visitor. I'm a lawyer. And the accused has a right to see his lawyer at any time of the day or night.""
Jack knew this was not a hard-and",".
The jail was a place of fear and dread. The men who were locked up there were the worst of the worst. The worst of the
worst of the worst.
Jack's father parked the car and they got out. The two of them walked up to the front door, where a guard was standing.
""I'm here to see my son,"" Jack's father said.
""You're his father?""
""Yes.""
""You're not on the list.""
""I'm his father.""
""You're not on the list.""
"""
"and see what I can do."" He looked Jerome over. ""Why has no one come to take your
clothes and issue you a prisoner's outfit?""
""They say they ain't have my size. They still lookin'.""
""I understand you were arrested by the officers because they had a reasonable belief that you had committed a crime?""
""Guess 'cause I be there.""
""And I also understand that you went before a judge or magistrate and that no bail was granted. Did a lawyer go with you?""
He nodded. ""Some white man. Don't 'member his name.""
""Was he a public defender?""
Jerome shrugged. ""Don't know.""
""What did he say to you?""
""He say, 'You got money for a lawyer?' And I think he mean right then. So I says no. Then we went to the courthouse and
they ask me how I . . .""
""How you plead?""
""Yeah. And I say I didn't do nothin' to nobody.""
""Did your lawyer request bail?""
""He ain'","t say nothin' 'bout that. But the judge say I gotta go to jail.""
""Did the commonwealth's attorney mention an indictment?""
Jerome shook his head. ""I ain't never hear that word.""
""What did the man who went with you to court look like?""
""Skinny, short. Got red hair. Loud voice.""
""George Connelly? That ring any bells?""
""Yeah. You know him?""
""Yes. I'll talk to him to get more details. Has he","t say nothin'.""
""Did he say anything else?""
""He say, 'You got money for a lawyer?' And I say no. Then he say, 'You got money for a lawyer?' And I say no. Then he say, 'You got money for a lawyer?' And I say no. Then he say, 'You got money for a lawyer?' And I say no. Then he say, 'You got money for a lawyer?' And I say no. Then he say, 'You got money for a lawyer?' And I say no. Then he say, 'You got money for a lawyer"
