prompt,true_suffix,response
"It starts with the little things: an extra toothbrush in the glass holder next to the sink, a few articles of clothing in the smallest drawer, phone chargers on both sides of the bed. Then the little things turn to slightly bigger things: razors and mouthwash and birth control pills all fighting for space in the medicine cabinet, the question changing from ""Are you coming over?"" to ""What should we cook for dinner?""
And as much as I've been dreading it, this next step was inevitable.
It may be the first time I'm meeting the people gathered around the table, people who Ryan has known since childhood, but it hasn't escaped anyone's attention that I'm already fully embedded in his life. It's the small touches a woman brings to a man's home, like the matching throw pillows on the couch or the faint whiff of jasmine from the diffuser on the bookshelf, that every other woman notices the second she walks through the front door.
A voice floats across the candlelit table, dodges the centerpiece that I was assured was ""delicate yet confident,"" and hovers","in the air in front of me. ""Evie, that's an unusual name.""
I turn to Beth, debating whether to answer her question that's not really a question.
""It's short for Evelyn. I was named after my grandmother.""
The women sneak glances at one another, silently communicating across the table. Every answer I give is weighed and cataloged for a later discussion.
""Oh, I love that!"" Allison squeals. ""I was named after my grandmother too. Where did you say you were from again","over my head. ""I'm so glad you could make it, Vivian.""
I look up to find a woman with auburn hair and a smile that's both warm and welcoming. She's wearing a black dress that's simple but elegant, and I'm immediately envious of her ability to pull off a look that's both classic and modern.
""Thank you for having me,"" I say. ""I'm Vivian.""
""I know."" She laughs. ""I'm Elizabeth. I'm Ryan's sister.""
""Oh, right."
"who crossed his path, especially those dressed in short skirts. And that same someone would pick up on little things, like the LSU baseball cap in the back seat or the frat tee showing through his white dress shirt or the country club sticker in the bottom left corner of his windshield, to ensure when they did meet there would be things to talk about. That someone would hold a nail just so in a valve while the air whistled away.
I mean, it's amusing to believe one person would go to those lengths just to meet another.
* * *
""I totally nailed it,"" I say, as I dip the last dinner plate into the sink full of soapy water. Ryan moves in behind me, his arms skimming my hips until they are wrapped around my waist. His chin settles on my shoulder, and his lips press against that spot on my neck in a way he knows I adore.
""They loved you,"" he whispers.
They don't love me. At most, I satisfied the first wave of curiosity. And I imagine before the first car left the driveway, every woman was in the passenger seat swiping between the","group text message picking apart every aspect of the night and the search bar on every social media site trying to track down exactly who I am and what small town in Alabama I came from.
""Ray just sent me a text. Sara wants your number so she can invite you to lunch next week.""
That was faster than I anticipated. I guess the second wave of curiosity is barreling toward me, fueled by the discovery that all searches turned up just the bare minimum of information, and they are hungry for more.
""I sent it to him. Hope that's okay,"" he","two men in the front.
""I'm not sure I'm cut out for this,"" I say, my voice muffled against his chest.
""You're perfect for it.""
""I'm not.""
""You are.""
""I'm not.""
""You are.""
""I'm not.""
""You are.""
""I'm not.""
""You are.""
""I'm not.""
""You are.""
""I'm not.""
""You are.""
""I'm not.""
""You are.""
"
"straight but needing something to do. He hasn't touched me this morning and barely looked at me. Yep, total baby.
Since he hasn't answered me, I add, ""Have you changed your mind about me being here? I know you think I've been avoiding packing, but I've set aside the entire day today to get it done, and Goodwill is coming by to pick up everything I don't need anymore. But I can call them and cancel . . .""
His eyes and hands are finally on me. ""Yes, I still want you here. I didn't know that's what you were planning to do today. But you've picked the one day I can't help you. I'm swamped today.""
Today is Thursday, and he'll be fifty miles away from here at his East Texas office for the day. Just like he is every Thursday.
""I know, the timing sucks. But today was the only day I could get off work and the only afternoon Goodwill could send a truck over. I don't have much, so even by myself, it shouldn't take long",".""
His hands squeeze my sides while he leans forward to kiss me on the lips. His pout long gone, I hook my feet around the back of his legs and pull him close.
""Maybe I can call in sick. I am the boss, after all, and it's high time I abused my position of power,"" he says with a laugh.
I giggle between kisses. ""Save your sick day for something better than packing. And really, there won't be that much to pack since I'm giving almost everything away."" I glance through the door",".""
He's still staring at me, but he's not saying anything.
""I'm sorry,"" I say. ""I know you're busy. I'll just go ahead and call Goodwill and cancel.""
""No, it's fine. I'll be home by six. I'll help you.""
""You will?""
""Yeah.""
""Thank you.""
He smiles. ""You're welcome.""
I'm so happy he's going to help me. I'm not sure I could have done it on my own."
"truck. There are only a few things left to take care of.
The layout of the apartment is simple. Front door opens to a small living room with a kitchen against the back wall. A narrow hallway leads to a bathroom and bedroom. Beige carpet meets beige linoleum meets beige walls.
In the kitchen area, I unzip the black bag and remove four menus from nearby restaurants and three pictures I printed from the kiosk at CVS of Ryan and me, plus seven magnets to hold each item in place on the refrigerator. Next, I grab the assortment of condiments and pour half of each one down the sink drain before lining them in the door of the refrigerator. Moving to the bathroom, black bag in tow, I pull out the shampoo and conditioner then pour half of each down the drain like I did with the condiments, before putting the bottles on the edge of the tub. Unwrapping a bar of Lever 2000 soap, I set it on top of the drain in the sink and turn the water on, rotating it every few minutes until the","logo is gone and the edges are dulled, then drop it into the small built-in space on the shower wall. Toothpaste is last. Starting from the bottom, I squeeze a portion out but leave a glob or two on the rim of the sink, just like I do at Ryan's house, even though I know he'll fuss about it. Leaving the cap off, I drop the tube on the counter near the faucet.
Last stop is the bedroom. I pull out an assortment of wire and plastic hangers, the last items in","soap is gone.
I’m almost finished when I hear a knock on the door.
“Lily?”
I freeze.
“Lily?”
I take a deep breath and walk to the door, opening it to find my mother standing on the other side.

“Mom,” I say, surprised. “What are you doing here?”

She looks at me, then past me to the black bag in my hand. “I’m here to help you move.”

I shake my head. “I’m almost done. I just have to put the last few things"
"some level, but I've thrown her.
""Should I still presume this unit will be empty and your key returned by five p.m. on Sunday?"" she asks.
""As I presume there will be no more unexpected visits,"" I answer, tilting my head toward the door and giving her a small smile.
She clucks her tongue against the roof of her mouth, then turns to leave. It takes everything in me not to throw the bolt closed behind her. But I'm almost finished here, and there's still more to be done before Ryan crosses the Louisiana state line at five thirty this afternoon.
Ryan's grandfather passed away three years ago, only a year after his wife, and left Ryan his home along with every piece of furniture, every dish in the cabinet, every picture on the wall. Oh, and a hefty sum of cash too.
From the way Ryan tells it, one day he dropped by to check on his grandfather, only to find he had died peacefully in his sleep, and then a week later Ryan was moving in. The only possessions he brought with him were his clothes, toiletries, and a new mat","tress for the bedroom. Ryan probably would have made room for an ugly second-hand couch . . . if I had one.
His street is lined with large oak trees, their branches shading every inch of sidewalk. The neighbors are all older, more established, and love to tell me how they've watched ""that sweet boy"" grow up since he was a baby. This is the kind of house you live in when you've finally made it. When you've had a couple of kids and the pressing fear of not being able to pay your bills lessens","tress.
I've been to the house twice. The first time was to help Ryan move in, and the second time was to help him move out.
The first time, I was shocked by the size of the house. It's a two-story, four-bedroom, three-bathroom home with a two-car garage. It's not a mansion, but it's not a small house either.
The second time I was there, I was shocked by the amount of stuff Ryan had accumulated in such a short amount of time.
I'm"
"his finger. ""Did you get a lot done at your apartment?""
I give him a big smile. ""I did! I'm ready for that moving truck on Saturday, but truthfully, we could probably manage with just our two cars. I ended up giving every piece of furniture away. There's only eight or ten boxes left,"" I say, kicking the box nearest me.
Confusion and a little sadness cross his face. ""Evie."" He says my name softly. ""You gave it all away?""
My thumb runs across his forehead, erasing the creases there. ""You live in a home where every single piece of furniture holds meaning for you. A memory. You grew up around these things so they're a part of you. It wasn't the same with my stuff. They were pieces of necessity. Somewhere to sit so I wasn't on the floor and nothing more than that. It was easy to give them away.""
The furniture I'm talking about might not have been given away today, but the feelings are true nonetheless.
Ryan slips his phone out of his front pocket and makes a call. I watch him, wondering","what he's up to.
""Hi, this is Ryan Sumner. Evie Porter scheduled your services for Saturday but I need to cancel.""
With his free hand, he pulls me close, tucking me against his side. He listens to whatever they are saying, then thanks them before disconnecting the call.
""Let's go get the rest. Right now. I'll do all the work since I'm sure you're beat. Give me five minutes to change.""
I open my mouth to protest but he seals his lips over mine, my words slipping","what he's doing.
""Hey, it's me. I need a favor. I'm at the store with my girlfriend and she's about to have a meltdown. Can you come get her?""
He ends the call and looks at me. ""I'm sorry, but I have to go. I'll be back in a few minutes.""
""What? Why?""
""I'm not sure if you've noticed, but you're a little bit of a mess right now. I'm going to get you some food and then I'm going"
"Ryan pulls the can out and says, ""Anything else need to go in here before I take it to the dumpster?""
I frown while I think about it. ""Yeah, there may be a few things in the bathroom that need to go.""
He follows me down the hall into the bathroom. I pluck the worn-down soap out of the shower and toss it inside the can. Then I pick up the shampoo and conditioner, testing the weight as if I'm trying to decide if there is enough worth keeping, then toss them in too.
Ryan is digging around in the drawers and cabinets, checking each space. He's more thorough than I thought he would be.
Once we're back out in the main room, he peeks inside a few of the boxes I'd filled earlier in the day. But then it's more than a peek. It's almost as if he's searching for something.
After he's riffled through three boxes I ask, ""Are you looking for something?""
His head comes up and his eyes catch mine. A small smile forces his dimples to appear. ""Just","trying to learn everything there is to know about you.""
The words are ones that any girl would love to hear, but they feel weighted. Heavy. And I wonder if he is choosing his words as carefully as I choose mine.
There are lots of reasons why I haven't stopped by here in the last week—the shopping, the packing, the moving—but I've waited as long as I can. It's fifteen minutes until the official closing time, and even though I can log in and enter after hours, I don't want a record of that.
Just like every third","making sure you didn't leave anything behind.""
I shake my head. ""I'm pretty sure I got everything.""
He nods and then he's back to searching.
""Ryan,"" I say, my voice a little louder. ""I'm pretty sure I got everything.""
He stops and looks up at me. ""I'm just making sure.""
""I'm pretty sure I got everything.""
He sighs and then he's back to searching.
""Ryan!""
He stops and looks up at me. ""What?""
""I"
"she says before sitting back down. Gesturing to the other women at the table, she adds, ""You remember Beth and Allison.""
""Of course,"" I answer, nodding to both women.
""This is Rachel Murray. Rachel, this is Evie Porter.""
Rachel holds her hand up in a small wave from across the table. ""Hi, it's nice to meet you, Evie. I've heard so much about you.""
I'm sure she has. ""It's so nice to meet you too.""
It's a little awkward that the reason we've never met was because she wasn't invited to Ryan's for dinner, but that was his call. He tossed her name around but ultimately decided to exclude her because, as he put it, sometimes she can get on his ""ever last fucking nerve."" Plus, she's single and that threw off the numbers at the table.
Just as I'm stashing my purse on the floor by my chair, I feel the vibration of an incoming text. A quick glance tells me it's from Ryan:
Have fun at lunch but don't take","any shit from them. Call me when you're done.
I bite my lip to hide my smile.
""Thanks for meeting me here. I don't have a very long lunch break,"" I say while picking up the laminated menu that's wedged in between the sugar caddy and a bottle of ketchup.
Sara snags one of the menus and says, ""No problem. We never get downtown so this is fun.""
It probably took everything in the other three not to roll their eyes. This is not their scene. Not at all","too long. I'm going to need you to help me with something when you get back.
I'm not sure what he means by that, but I'm sure I'll find out soon enough.
""So, how long have you been dating?"" Beth asks.
""A little over a year,"" I answer.
""And how did you two meet?""
""We met at a bar.""
""A bar?"" Allison asks. ""How romantic.""
""It was,"" I say. ""He was there with a friend and I was there with a friend. We were both"
"most careful about answering. This town isn't big, and it's not a place you'd randomly pick to settle in if you didn't already have family or friends here.
""Came across an online listing for a job. Applied for it and got it so I moved. The job fell through, but I was already here so I made it work.""
""Where was the job?"" Rachel asks.
""At the hospital,"" I answer.
""Oh,"" Rachel says. ""Which department?""
Yeah, definitely getting on my last nerve. The other women are nudging one another, each one wanting one of the others to stop this train wreck.
""The billing department,"" I answer.
Sara, obviously done with our back-and-forth, chimes in, ""I can't imagine how hard things have been for you. But I am happy that you found Ryan and that Ryan found you.""
The food is delivered, and I'm granted a reprieve when everyone starts eating. Rachel keeps throwing looks my way, trying to figure me out. Good luck.
After several minutes, she spears a tomato on the","end of her fork, then points it at me. ""It's surprising to see Ryan get serious so quickly. Beth says you've already moved into his place. You've known him what, two months?""
I'm done playing nice.
""Rachel—"" Allison whispers.
I hold my hand up, letting Allison know I'm okay. ""I get it, I really do. You've known Ryan forever and then here I appear, out of nowhere."" A smile stretches across my face. ""He's lucky to have you. To have","end of her fork and says, ""I'm sorry, but I'm still confused. How did you end up in the billing department?""
""I'm a nurse,"" I say.
""Oh,"" she says. ""I thought you said you were a nurse's aide.""
""I am a nurse,"" I say. ""I'm a nurse practitioner.""
""Oh,"" she says. ""I thought you said you were a nurse's aide.""
""I am a nurse,"" I say. ""I'm a nurse pract"
"m facing him. ""It wasn't anything I couldn't handle.""
""But you shouldn't have to handle that."" His hand reaches for mine, then he's pulling me into his lap. I glance at the open door, hoping no one catches us like this. I've only had this job a couple of weeks, and everyone knows I only got it as a favor to Ryan and nothing more.
""This isn't helping my credibility here,"" I say, even as I snuggle in closer to him.
Ryan wraps an arm around me, anchoring me to him. His finger traces the top edge of my thin tee. ""This is killing me right now, just so you know.""
I lean into his hand, and he glances at the empty hallway to make sure we're still alone down here, but before he gets any ideas of being naughty at work, I say, ""I know you're too busy to come running down here to check on me."" I link my fingers with his to stop his exploration. ""Which one called you?""
My money's on Sara.
""Sara. She's worried you","hate them now."" He lets out a quiet laugh, then his expression changes. Gets serious. ""Want to talk about it?"" he asks.
I shake my head. ""No. I'm not worried about what they think."" I twist around so I can look at him. ""But I am worried about what you think.""
Ryan runs a hand through my hair, wrapping the ends around his fist. Holding my face inches from his. ""I think you're wonderful.""
""Well, I think you're pretty wonderful too."" And for the first time, these","'re going to quit.""
""I'm not going to quit.""
""I know.""
""I'm not.""
""I know.""
""I'm not.""
""I know.""
""I'm not.""
""I know.""
""I'm not.""
""I know.""
""I'm not.""
""I know.""
""I'm not.""
""I know.""
""I'm not.""
""I know.""
""I'm not.""
""I know.""
""I'm not.""
""I know"
