prefix,suffix
"the korowai pass had been closed since the end
 of the summer, when a spate of shallow earthquakes triggered a landslide that buried a stretch of the highway in rubble, killing five, and sending a long-haul transport truck over a precipice where it skimmed a power line, ploughed a channel down the mountainside, and then exploded on a viaduct below. It was weeks before the dead could be safely recovered and the extent of the damage properly assessed; by this time the temperature was dropping, and the days shortening fast. Nothing could be done before the spring. The road was cordoned off on either side of the mountains, and traffic diverted – to the west, around the far shores of Lake Korowai, and to the east, through a patchwork of farmland and across the braided rivers that flowed down over the plains towards the sea.


The town of Thorndike, located just north of the pass in the foothills of the Korowai ranges, was bounded on one side by the lake, and on the other by Korowai National Park. The closure of the pass created an effective cul-de","-sac: cut off from the south, the town was now contained in all directions but one. Like much of small-town New Zealand, the local economy depended for the most part on the commerce of truckers and tourists passing through, and when the rescue teams and television crews finally packed up and drove away, many Thorndike 
4
residents reluctantly left with them. The cafés and trinket shops along the highway frontage began, one by one, to close; the petrol station reduced its hours; an apologetic sign appeared in the window of the"
"ant, leased an answer-phone service, and bought a tin of yellow paint from the hardware store. On the doors of his truck he'd stencilled the words 
Darvish Pest Control
.


As the son of a slaughterhouse worker, Darvish knew firsthand that large numbers of healthy livestock had to be prematurely butchered each year on account of a broken ankle or a broken leg. Rabbit warrens laid waste to good pasture; they were also an introduced species, along with possums, rats, and stoats, which shared their taste for the shoots of native plants and the eggs of native birds. The extermination of these pests was one of the few instances of common ground between conservationists and industrial farmers in New Zealand, and 
8
Darvish, as he expanded operations, steered a middle course, courting clients on both the left and the right. Mira read that over its lifetime Darvish Pest Control had held contracts with all of New Zealand's major agricultural industries, as well as with iwi and rūnanga, town councils",", and departments of state; but it was a recent partnership with the American technology corporation Autonomo, included on the S&P 500 Index, that Darvish hoped would be his crowning achievement. Autonomo, from what Mira could gather, was a manufacturer of drones, and with its help Darvish Pest Control had just embarked upon an ambitious conservation project aimed at monitoring native wildlife populations that were under threat. It was early days, Darvish said modestly, but he believed the scheme had the potential to rescue a number"
", that Mrs Noakes appeared 
12
to compete with her children in several arenas, but most particularly on the issue of job satisfaction, a hard-won prize for the women of her generation, and one that she was unwilling, perhaps, to share.


Shelley could recall it almost word for word. She had been twenty-one years old to Mira's twenty-four, and never in her life had she heard any adult criticised so openly and calmly, without any of the usual forms of obeisance – the ritual admission of the speaker's likely ignorance; the ritual deference to all opposing points of view – that for her were so thoroughly ingrained that they inhibited her thinking as severely as they did her speech. She had sought out Mira's friendship with a fervour that approached infatuation, transforming herself, though she would not realise this until years later, into a more perfect image of the person that Mira had told her that she already was: more benighted, more repressed, and more continually in conflict with a mother whose every utterance, she came to discover, incarnated no less an enemy","than the spectre of late capitalism itself. Cast virtually since birth in the role of the family peacemaker, and praised throughout her adolescence for having cost her parents not a single night of sleep, Shelley had lived for as long as she could remember in perpetual dread of being dislikeable – a fate even more terrible than being disliked, for it encompassed not only her relationships with others, but her private judgments of herself. It was only under Mira's influence that she learned, if not to overcome this terror, then at least to direct the bl"
"force: Birnam Wood was now a start-up, a pop-up, the brainchild of 'creatives'; it was organic, it was local; it was a bit like Uber; it was a bit like Airbnb. In this new, perpetually unsettled climate, Shelley's defection from the conventional economy had gained, she knew, a kind of retroactive valour, and even Mira – seditious, independent-minded Mira – suddenly seemed to be just the sort of trendy big-talking renegade one could imagine being contracted by the government as a black-ops adviser, writing inflammatory blogs and newspaper columns that defended unorthodox opinions and debated the right to free speech. Agitation had lost its juvenile cast: it had been made urgent again, righteous again, necessary again. An aura of prescience now permeated Birnam Wood.


And Shelley wanted out. Out of the group; out of the suffocating moral censure, the pretended fellow feeling, the constant obligatory thrift; out of financial peril; out of the flat; out of her","relationship with Mira, which was not romantic in any physical sense, but which had somehow come to feel both exclusive and proprietary; and above all, out of her role as the sensible, 
17
dependable, predictable sidekick, never quite as rebellious as Mira, never quite as free-thinking, never – even when they acted together – quite as brave. She wanted out with a force of feeling that was as abrupt and absolute as when she had first known she wanted in, and when she probed the conviction, she found that she could not explain the reason for her"
"as a hallowed place of learning, but as a financial instrument, she considered to be merely fitting. She was untroubled, or at least claimed to be untroubled, that her student record showed only failures for the last three years; and although her student loan was now in excess of a hundred thousand dollars, she avowed 
21
that the debt did not remotely worry her, because she had no intention of ever paying it back.


In any case, a great deal of what they needed could be got for free – if not from the natural world, then by raiding skips and recycling bins, by making collections of unwanted household junk, and simply by asking for donations. Shelley had learned from Mira the particular clairvoyance of the scavenger, whereby discarded items now appeared to her only in the form of something else. Old window screens were shade cloth; flattened cardboard and carpet offcuts were weed matting; plastic bottles, when sliced in half, became little cloches to fit over seedlings to keep them warm. Any receptacle could be a seed tray,","and anything reflective could be propped against it to maximise the light. She had discovered over the years that the more peculiar her requests, the more eager people seemed to meet them: clippings from hair salons for slug repellent; old tights to fit over the heads of cabbages and cauliflowers to protect them from pests; wool to drape cat's-cradle over plantings to deter the birds. Every windowsill of the tiny flat that she and Mira shared was occupied by rows and rows of seedlings, and they recorded each successive planting in"
"head. 'Okay. You're messing with me.'


She grinned at him. 'And didn't I lend you some money? Like, quite a bit of money? Yeah, you know, I think I did. And you never paid me back.'


Now he was smiling too. 'You're really enjoying this, aren't you?'


'It's a very powerful position,' Shelley said. 'I don't want to waste it.'


She almost didn't recognise herself. The adrenaline she had built up in rehearsing for her confrontation with Mira was allowing her to speak and act in ways that were utterly unlike her; she felt at once both dangerously reckless and dangerously calm. The normal Shelley would have been horrified on his behalf, would have apologised for being so thoroughly forgettable, would have reassured him that she had no expectation whatsoever of his remembering anything about her, since it was so long ago, and their friendship had been so fleeting, and those days were such a blur. The normal Shelley would have teased","him, in a tone of sisterly indulgence, that back then he had been so patently in love with Mira – and everyone had known it – that it was only natural that his memory would be distorted; of course, it would make perfect sense if the only thing he could remember from that time was her. In the spirit of their shared affections, and to put him even further at ease, the normal Shelley might even have confided that although she shouldn't really be the one to tell him this, for Mira, he had always been the one who got away. 
26

"
". His own father, Tony's Grandpa Gallo, had been an envoy to the Holy See, and was so large a figure in the family lore that as a child Tony had confused him with the Pope, boasting to the neighbours' children that 
his
 grandpa was the guardian of the Keys of Heaven, which a half-grasped Easter Sunday homily had convinced him were not metaphorical, but real. When Tony's father heard this, he responded by docking Tony's pocket money for a month. Dr Gallo's preferred mode of discipline was to impose arbitrary sanctions on his children for specified periods of time. He kept a calendar on the fridge devoted to the purpose of recording which child had been banned from what luxury, and for how long: pocket money, but also television, the computer, rainy-day school pickups, the trampoline, pudding, bedtime cocoa, 
30
playing in the common spaces, and snacking between meals. Of all the children, it was Tony who was most often sentenced. As the eldest son and the third child, he bore the","brunt of both his father's expectations and his father's impatience, and as a result his moral conscience had been shaped, from as far back as he could remember, by a vivid sense of his own damnation, and a bitter yearning that punishment, for once, should be made to fit the crime.


Inevitably, the first great rebellion of Tony's adolescence had been to renounce his faith. He was a bright boy, prideful of his intellect, critical often to the point of indignation, and observant of hyp"
"seen and done abroad, and to feel himself distinguished by the habituated worldliness that since his homecoming had seemed to mark him only as a 
34
deserter, a tiresome condescender, and an apostate – not just of his religion, but of his family, of his country, and even, in some impenetrable way, of himself. Shelley was not well-travelled, but she expressed no envy or impatience when he told her about backpacking through Guatemala, Honduras, and Nicaragua; Brazil and Venezuela; Ecuador, Chile, and Peru, instead asking him with unfeigned curiosity about the food, the local customs, what differences he had observed between the countries, whether his preconceptions had been challenged, and whether he felt changed. She was a good listener, inquisitive, empathetic, generous with her attention, and associative in her replies, and they had been talking for almost twenty minutes before the conversation turned to her – whereupon Tony was surprised again, and gratified again, to discover what a great deal they had in common.


It turned out that they had","both tutored high-school English as undergraduates, had both found their schooling underwhelming, felt similar exasperations with the state of public discourse in New Zealand, and shared a love of John Wyndham and Ursula Le Guin. Politically, Shelley was the outlier in her family, as Tony was, and she confessed that this had been a source of some sadness during her years at Birnam Wood, since most of the members had inherited their politics from their parents, and could not understand the loneliness, even the sorrow, in having forged"
"estigative journalism. I've got a website, and I've had a few things in journals and magazines and stuff. Nothing huge, but it's all about building up a profile in the beginning.'


'I feel bad,' said Shelley. 'I never even knew that you were published.'


'Only online,' he said. 'And it's all pretty niche. I've never been paid or anything.'


'Hey, man,' she said, lightly, 'look who you're talking to.'


She was grinning, but he had a guilty feeling, and ducked his face into his glass.


He was embarrassed to have mentioned money. The Gallos had always kept a frugal household, and it hadn't been until Tony went abroad that he realised that what he had always taken to be middle class was really, by any global standard, rich. The revelation had produced in him not relief or gratitude, but a new and deeply unpleasant sense of his own complicity, for Grandpa Gallo's legacy – a fortune he had never known existed, let alone expected","to receive – had left him suddenly much wealthier than any of his friends. He had never mentioned the bequest to anyone; instead, he practised inconspicuous consumption, and began to cultivate a shabby hand-me-down appearance as a way of implying to everyone around him that, like them, he was only barely scraping by. It was partly to atone for this deception, and partly in continuation of it, that he had turned to journalism; having pretended for so long that the asceticism of his lifestyle was a sacrifice he had no other option"
"tely.'


He took a long pull from his glass, wanting to ask if Mira was seeing someone, but lacking the courage. 'I don't know how much she told you,' he said instead, and then immediately regretted it.


Shelley glanced at him, but said nothing, waiting for him to go on. When he didn't, she said, '… You mean, about your leaving party?'


'Okay,' Tony said, making a comical wince. 'So you know.'


Another pause. Then Shelley said, 'Well, it was a long time ago.'


'Yeah.'


'And she was pretty drunk.'


'Yeah,' said Tony, too quickly, wincing again. Shelley seemed much stiffer and colder than she had before he had got up to go to the bar. Wondering where their affinity had gone, he remembered, suddenly and with a spike of guilt, that she had also been in attendance at his leaving party: he had probably hurt her feelings by reminding her that he had not remembered who she was. '","Well,' he said, to excuse himself, 'we were all pretty drunk that night.' 
43


She was watching his expression closely. 'It was a different time, eh? Even just four years ago. But it was a different age.'


'Completely,' Tony said again, not quite sure what she meant, but relieved to have an opportunity to agree with her. He took another gulp of beer to cover his embarrassment and cast his gaze around the room, cursing his clumsiness, and wishing he had introduced the subject in a"
