prompt,true_suffix,response
"the korowai pass had been closed since the end of the summer, when a spate of shallow earthquakes triggered a landslide that buried a stretch of the highway in rubble, killing five, and sending a long-haul transport truck over a precipice where it skimmed a power line, ploughed a channel down the mountainside, and then exploded on a viaduct below. It was weeks before the dead could be safely recovered and the extent of the damage properly assessed; by this time the temperature was dropping, and the days shortening fast. Nothing could be done before the spring. The road was cordoned off on either side of the mountains, and traffic diverted – to the west, around the far shores of Lake Korowai, and to the east, through a patchwork of farmland and across the braided rivers that flowed down over the plains towards the sea.
The town of Thorndike, located just north of the pass in the foothills of the Korowai ranges, was bounded on one side by the lake, and on the other by Korowai National Park. The closure of the pass created an effective cul-de-sac",": cut off from the south, the town was now contained in all directions but one. Like much of small-town New Zealand, the local economy depended for the most part on the commerce of truckers and tourists passing through, and when the rescue teams and television crews finally packed up and drove away, many Thorndike residents reluctantly left with them. The cafés and trinket shops along the highway frontage began, one by one, to close; the petrol station reduced its hours; an apologetic sign appeared in the window of the visitor centre; and the former sheep station",", and the town’s population swelled with the influx of traffic. The local council had been forced to open a temporary campground on the outskirts of town, and the caravan park was full to bursting. The town’s only motel was booked out, and the local backpackers was overflowing with tourists. The only available accommodation was in the form of a handful of holiday homes, and these were being rented out at exorbitant rates.
The town’s main street was a narrow strip of tarmac that ran between the lake and the mountains"
"into felt; but as the plant had insisted on invoicing, Darvish, now aged nineteen, had taken the decision to incorporate. He'd hired an accountant, leased an answer-phone service, and bought a tin of yellow paint from the hardware store. On the doors of his truck he'd stencilled the words Darvish Pest Control.
As the son of a slaughterhouse worker, Darvish knew firsthand that large numbers of healthy livestock had to be prematurely butchered each year on account of a broken ankle or a broken leg. Rabbit warrens laid waste to good pasture; they were also an introduced species, along with possums, rats, and stoats, which shared their taste for the shoots of native plants and the eggs of native birds. The extermination of these pests was one of the few instances of common ground between conservationists and industrial farmers in New Zealand, and Darvish, as he expanded operations, steered a middle course, courting clients on both the left and the right. Mira read that over its lifetime Darvish Pest Control had held contracts","with all of New Zealand's major agricultural industries, as well as with iwi and rūnanga, town councils, and departments of state; but it was a recent partnership with the American technology corporation Autonomo, included on the S&P 500 Index, that Darvish hoped would be his crowning achievement. Autonomo, from what Mira could gather, was a manufacturer of drones, and with its help Darvish Pest Control had just embarked upon an ambitious conservation project aimed at monitoring native wildlife populations that","with the Department of Conservation, the Department of Agriculture, the Department of Corrections, and the Department of Defence.
Darvish had been a good father to Mira, and a good husband to her mother, but he'd been a terrible husband to his first wife, and a terrible father to his first son. He'd been a terrible son to his own father, and a terrible brother to his own sister. He'd been a terrible friend to his best friend, and a terrible boss to his first employee. He'd been a terrible neighbour to his first neighbours, and a"
"When Mira had first heard this, she had laughed. Listing, with no small relish, all the ways that selling was a service, and all the ways that services were sold, she had dismissed the maxim as vapid neoliberal bullshit, adding, with careless perspicacity, that Mrs Noakes appeared to compete with her children in several arenas, but most particularly on the issue of job satisfaction, a hard-won prize for the women of her generation, and one that she was unwilling, perhaps, to share.
Shelley could recall it almost word for word. She had been twenty-one years old to Mira's twenty-four, and never in her life had she heard any adult criticised so openly and calmly, without any of the usual forms of obeisance – the ritual admission of the speaker's likely ignorance; the ritual deference to all opposing points of view – that for her were so thoroughly ingrained that they inhibited her thinking as severely as they did her speech. She had sought out Mira's friendship with a fervour that approached infatuation, transforming herself, though she would not real","ise this until years later, into a more perfect image of the person that Mira had told her that she already was: more benighted, more repressed, and more continually in conflict with a mother whose every utterance, she came to discover, incarnated no less an enemy than the spectre of late capitalism itself. Cast virtually since birth in the role of the family peacemaker, and praised throughout her adolescence for having cost her parents not a single night of sleep, Shelley had lived for as long as she could remember in perpetual dread of being dislikeable –","ise it for years, into a kind of disciple, and Mira into a kind of guru.
Shelley had been a student at the time, and Mira had been a teacher. She had been a teacher of English, and Shelley had been a student of English, and they had met in a tutorial group, and they had been friends, and they had been lovers, and they had been lovers, and they had been friends, and they had been lovers, and they had been lovers, and they had been friends, and they had been lovers, and they had been lovers"
"political rout of 2016 had brought with it a new mood of deference towards the radically unforeseen. Around the globe, forecasters had been chastened and experts maligned; in their place had come the disruptors, the technological imperialists, the metadata millenarians and stokers of popular feeling who had managed, invisibly and hitherto impossibly, to manufacture the authentic, the world's most influential brand. A new vocabulary had come into force: Birnam Wood was now a start-up, a pop-up, the brainchild of 'creatives'; it was organic, it was local; it was a bit like Uber; it was a bit like Airbnb. In this new, perpetually unsettled climate, Shelley's defection from the conventional economy had gained, she knew, a kind of retroactive valour, and even Mira – seditious, independent-minded Mira – suddenly seemed to be just the sort of trendy big-talking renegade one could imagine being contracted by the government as a black-ops adviser, writing inflam","matory blogs and newspaper columns that defended unorthodox opinions and debated the right to free speech. Agitation had lost its juvenile cast: it had been made urgent again, righteous again, necessary again. An aura of prescience now permeated Birnam Wood.
And Shelley wanted out. Out of the group; out of the suffocating moral censure, the pretended fellow feeling, the constant obligatory thrift; out of financial peril; out of the flat; out of her relationship with Mira, which was not romantic in any physical sense,","matory blogs about the need for a new kind of nationalism, a new kind of patriotism, a new kind of pride, a new kind of self-reliance, a new kind of self-belief, a new kind of self-determination, a new kind of self-sufficiency, a new kind of self-respect, a new kind of self-worth, a new kind of self-esteem, a new kind of self-love, a new kind of self-interest, a new kind of self-preservation, a new kind of self-reliance"
", she was untouched by depression; her convictions were of the sort that required a sparring partner, rather than of the sort that required a cure. She could be impulsively, even alarmingly, generous, and never seemed to second-guess (as Shelley did) the things she sold or gave away; but she was also wildly inconsistent. That the university, for example, had never once made contact to ask the reason for her continued non-attendance she saw as proof of a rapacious business model that in her opinion had so utterly debauched a university's fundamental reasons for existence as to justify almost any act of civil disobedience against it; but that she herself had effectively come to treat that institution not as a hallowed place of learning, but as a financial instrument, she considered to be merely fitting. She was untroubled, or at least claimed to be untroubled, that her student record showed only failures for the last three years; and although her student loan was now in excess of a hundred thousand dollars, she avowed that the debt did not remotely worry her, because she had no intention of ever paying it back",".
In any case, a great deal of what they needed could be got for free – if not from the natural world, then by raiding skips and recycling bins, by making collections of unwanted household junk, and simply by asking for donations. Shelley had learned from Mira the particular clairvoyance of the scavenger, whereby discarded items now appeared to her only in the form of something else. Old window screens were shade cloth; flattened cardboard and carpet offcuts were weed matting; plastic bottles, when sliced in",".

She was, in short, a person who had never been able to reconcile her own sense of self with the world around her, and who had therefore, in the absence of any other option, simply chosen to ignore the world around her. She had never been able to reconcile her own sense of self with the world around her, and she had therefore, in the absence of any other option, simply chosen to ignore the world around her. She had never been able to reconcile her own sense of self with the world around her, and she had therefore, in the absence of any other option, simply chosen to"
"Mira?'
'Yeah,' Shelley said. 'I did back then, as well. We moved into the Hansons Lane flat just before you left. About a month before.'
There was a slight pause.
'I remember your leaving party was pretty wild,' she said.
'Hey,' he said. 'Look. I'm really sorry—'
'Nah,' she said, waving him away. 'I'm just making you feel bad.' 'Well, if I can't – I mean, clearly I was a massive dick back then.'
'Steady on,' she said. 'Bigger than average maybe. I wouldn't have said massive.'
'Oh, Jesus,' he said, putting his hands on his head. 'Okay. You're messing with me.'
She grinned at him. 'And didn't I lend you some money? Like, quite a bit of money? Yeah, you know, I think I did. And you never paid me back.'
Now he was smiling too. 'You're really enjoying this, aren't you?'
'It's a very powerful position,' Shelley said",". 'I don't want to waste it.'
She almost didn't recognise herself. The adrenaline she had built up in rehearsing for her confrontation with Mira was allowing her to speak and act in ways that were utterly unlike her; she felt at once both dangerously reckless and dangerously calm. The normal Shelley would have been horrified on his behalf, would have apologised for being so thoroughly forgettable, would have reassured him that she had no expectation whatsoever of his remembering anything about her, since it was so long ago, and",". 'I'm not sure I'd be able to resist it either.'
'I'm not sure I would,' he said. 'I'm not sure I'd be able to resist you either.'
'Oh, you're so smooth,' she said.
'I'm not,' he said. 'I'm just being honest.'
'I'm not sure I'd be able to resist you either,' she said.
'I'm not sure I'd be able to resist you either,' he said.
'I'm not sure I'd be"
"any sooner: he had spent much of the past five weeks in a cycle of fury and impotent resentment that he knew was deeply unattractive and that he did not feel that he could trust himself to hide.
Tony was the middle child of five, and the exception, as he saw it, to the family rule, which, unusually in New Zealand, was devoutly Catholic, conservative, and very strict. All of his siblings had followed the example set by his father, his sisters into medicine, his father's profession, and his younger brother into the seminary, his father's boyhood dream. This road not taken was of great significance to Dr Gallo's personal mythology, and by extension the family mythology, which he controlled: a failed celibate, he regarded the existence of his wife and children with disappointment and profound regret. His own father, Tony's Grandpa Gallo, had been an envoy to the Holy See, and was so large a figure in the family lore that as a child Tony had confused him with the Pope, boasting to the neighbours' children that 
his
 grandpa was the guardian of the","Keys of Heaven, which a half-grasped Easter Sunday homily had convinced him were not metaphorical, but real. When Tony's father heard this, he responded by docking Tony's pocket money for a month. Dr Gallo's preferred mode of discipline was to impose arbitrary sanctions on his children for specified periods of time. He kept a calendar on the fridge devoted to the purpose of recording which child had been banned from what luxury, and for how long: pocket money, but also television, the computer, rainy-day school pickups, the tr","keys to heaven. Tony's father had been a disappointment to his father, and Tony was a disappointment to his. Tony's mother, a nurse, was a quiet, unobtrusive woman who had been a nurse since she was sixteen, and who had married Tony's father at twenty-one, and who had never had a job or a career or a life of her own. She was a good mother, but she was not a good wife, and Tony's father had never forgiven her for that. Tony's mother had been a disappointment to her husband, and"
"'That's what everybody says. Right before I cut their faces off.' Tony laughed. 'Well,' he said. 'We are really getting to know each other.'
They walked on in silence for several paces.
'Tell me about it, though,' she said presently. 'You were teaching English? What level? What kind of students were they – how old? Was it through a charity? What was it like?'
These were the questions Tony's family had never asked – that he had longed for them to ask; and as he began to answer, describing his experience in Mexico City, his teaching life, his colleagues, the essays he had published, the protest marches he had attended, and the friends he had made, he felt for the first time since his return a genuine pleasure and contentment. It was almost a surprise to remember that he could be proud – that he 
was
 proud – of all that he had seen and done abroad, and to feel himself distinguished by the habituated worldliness that since his homecoming had seemed to mark him only as a deserter, a tiresome condescender, and an apostate – not just of his religion, but","of his family, of his country, and even, in some impenetrable way, of himself. Shelley was not well-travelled, but she expressed no envy or impatience when he told her about backpacking through Guatemala, Honduras, and Nicaragua; Brazil and Venezuela; Ecuador, Chile, and Peru, instead asking him with unfeigned curiosity about the food, the local customs, what differences he had observed between the countries, whether his preconceptions had been challenged, and whether he felt changed. She was a good listener, inquisitive","of his class, his country, and his family.

'I'm sorry,' he said, as they reached the end of the path. 'I've been going on and on.'

'No, no,' she said. 'I'm really interested.'

'Well, I'm glad,' he said. 'I'm glad you're interested.'

'I'm not sure I've ever met anyone who's been to Mexico,' she said.

'Really?'

'I mean, I've been to the airport, but that"
"'Spit takes.'
'""Here's my spit take of your latest hot take.""'
'Reckons,' Shelley said. 'That's the word here.'
'No – really?'
'Yeah. Like, ""Here's my reckon on mass incarceration.""'
'… Total endorsement?'
'See, you got it. 
That's
 a reckon.'
'""Mass incarceration: not nearly mass enough""?' 'Boom,' she said. 'It writes itself.'
'Nah,' he said, 'we shouldn't even joke about that, eh.'
They were both quiet.
'That's the plan, anyway,' said Tony, resuming the thread. 'Investigative journalism. I've got a website, and I've had a few things in journals and magazines and stuff. Nothing huge, but it's all about building up a profile in the beginning.'
'I feel bad,' said Shelley. 'I never even knew that you were published.'
'Only online,' he said. 'And it's all pretty niche.","I've never been paid or anything.'
'Hey, man,' she said, lightly, 'look who you're talking to.'
She was grinning, but he had a guilty feeling, and ducked his face into his glass.
He was embarrassed to have mentioned money. The Gallos had always kept a frugal household, and it hadn't been until Tony went abroad that he realised that what he had always taken to be middle class was really, by any global standard, rich. The revelation had produced in him not relief or gratitude, but a new","But I've got a few contacts, and I've got a few ideas, and I'm just going to keep plugging away.'
'That's great,' she said. 'I'm really proud of you.'
'Thanks,' he said. 'I'm proud of you too.'
'I'm not doing anything,' she said.
'You're doing everything,' he said. 'You're the best.'
'I'm not the best,' she said.
'You are,' he said.
'I'm not,' she said.
'You"
", and as he tapped his pin into the credit card machine, it occurred to him that Mira would be getting home quite soon; perhaps, he thought, in beery complacency, he might suggest that she join them for dinner.
'How's she doing, anyway?' he said, after he'd returned to the table and refilled their glasses. 'Mira.'
Shelley didn't answer at once. Then she said, carefully, 'I wouldn't want to answer for her.'
'No, I meant, from your point of view. Like, how's she getting on.'
'She's good,' Shelley said. 'She's doing good.'
'Yeah?'
'I mean, so much has happened, you know? It's like, where do you start?'
'Yeah,' Tony said. 'Completely.'
He took a long pull from his glass, wanting to ask if Mira was seeing someone, but lacking the courage. 'I don't know how much she told you,' he said instead, and then immediately regretted it.
Shelley glanced at him, but said nothing, waiting","for him to go on. When he didn't, she said, '… You mean, about your leaving party?'
'Okay,' Tony said, making a comical wince. 'So you know.'
Another pause. Then Shelley said, 'Well, it was a long time ago.'
'Yeah.'
'And she was pretty drunk.'
'Yeah,' said Tony, too quickly, wincing again. Shelley seemed much stiffer and colder than she had before he had got up to go to the bar. Wondering where their affinity had","for him to continue.
'I mean, I guess you know she's been seeing this guy, this bloke called Lemoine.'
'Yeah,' Shelley said. 'I know.'
'Yeah,' Tony said. 'Yeah, I guess you would.'
'I mean, I'm not sure how much she told you,' Shelley said.
'Yeah,' Tony said. 'Yeah, I guess you wouldn't be.'
'I mean, I'm not sure how much she told you,' Shelley said"
