prefix,suffix
"First, I got myself born. A decent crowd was on hand to watch, and they've always given me that much: the worst of the job was up to me, my mother being let's just say out of it.
On any other day they'd have seen her outside on the deck of her trailer home, good neighbors taking notice, pestering the tit of trouble as they will. All through the dog-breath air of late summer and fall, cast an eye up the mountain and there she'd be, little bleach-blonde smoking her Pall Malls, hanging on that railing like she's captain of her ship up there and now might be the hour it's going down. This is an eighteen-year-old girl we're discussing, all on her own and as pregnant as it gets. The day she failed to show, it fell to Nance Peggot to go bang on the door, barge inside, and find her passed out on the bathroom floor with her junk all over the place and me already coming out. A slick fish-colored hostage picking up grit from the vinyl tile, worm","ing and shoving around because I'm still inside the sack that babies float in, pre-real-life.
Mr. Peggot was outside idling his truck, headed for evening service, probably thinking about how much of his life he'd spent waiting on women. His wife would have told him the Jesusing could hold on a minute, first she needed to go see if the little pregnant gal had got herself liquored up again. Mrs. Peggot being a lady that doesn't beat around the bushes and if need be, will tell Christ Jesus to sit tight and keep"
", she was clear about the lady coming to rescue a little girl. Not me. If this was Mom's fairy tale: Why a girl? Was that what she really wanted, some pink package that would make her get her act together? Like I wasn't breakable?

The other part, a small thing, is that in this story Mom never spoke my father's name. The woman is ""the Woodall witch,"" that being my dad's last name, with no mention of the man that got her into the baby fix. She found plenty to say about him at other times, whenever love and all that was her last stop on the second six-pack. The adventures of him and her. But in this tale as regards my existence, he is only the bad choice.



2




My thinking here is to put everything in the order of how it happened, give or take certain intervals of a young man skunked out of his skull box, some dots duly connected. But damn. A kid is a terrible thing to be, in charge of nothing. If you get past that and grown, it's easiest to forget about the mis","ery and pretend you knew all along what you were doing. Assuming you've ended up someplace you're proud to be. And if not, easier to forget the whole thing, period. So this is going to be option three, not proud, not forgetting. Not easy.I remember I always liked looking at things more than talking about them. I did have questions. My problem was people. Thinking kids are not enough full-fledge humans to give them straight answers. For instance. The Peggots next door in their yard had a birdhouse on a pole that was a big mess of d"
"my way. The little do you know. If you're going to steal or trash-talk your betters or break her tomato plants or get caught huffing her hair spray out of a paper bag, the lady could scold the hair off your head.She was the only one to use my real name after everybody else let it go, Mom included. I didn't realize until pretty late in life, like my twenties, that in other places people stick with the names they start out with. Who knew? I mean, Snoop Dogg, Nas, Scarface, these are not Mom-assigned names. I just assumed every place was like us, up home in Lee County, where most guys get something else on them that sticks. Shorty or Grub or Checkout. It's a good guess Humvee was not Humvee to begin with. Mr. Peggot was Peg after he got his foot crushed by one of those bolting machines they use in the coal mines. Some name finds you, and you come running to it like a dog until the day you die and it goes in the paper along with your official name that everybody's forgotten. I have","looked at the obits page and thought about how most of these names are harsh. Who wants to die an old Stubby? But in life it's no big deal, you can buy a beer for your best friend Maggot without either one of you giving it a thought.So it was not usual for Mrs. Peggot to keep my born name in the mix after others had moved on from it. It's Damon. Last name of Fields, same as Mom's. At the time of filling in the hospital forms after my action-packed birth, she evidently had her reasons for"
"little Demon, huh? Demon Spawn, jokes I'd heard a million times. Then Reeker came up with ""Spawn of the Centerfold,"" and Extra Eye said, ""A fox is going to whelp her pups, Stoner. You're lucky it's just the one."" And Stoner said he'd better watch it because some people are smarter than you think.""Oh yeah, who's that?"" Extra Eye asked. I was curious too.""Bear,"" Stoner told him, which was a letdown. I thought maybe he'd meant me.""Bear who?"" they wanted to know.Stoner did a fast little wink. ""Mr. Grin's friend, you damn idjits. Mr. Bear It.""

""Oh, I got ya,"" Reeker said. ""Mr. Cross-to-Bear.""

I already knew at my tender age a decent list of assholes, but none by the name of Bear. These guys laughed about him until Mom got back, which was taking forever. They got cups out of the dispenser and helped themselves","to Stoner's beer, and asked about his drilling project. If Stoner drilled wells, that was news to me. Stoner asked what they would do if they found a cherry Camaro they wanted to buy, but it came with a trailer on the back.""To buy, or just take for a hard run?"" Extra Eye wanted to know, and Reeker asked, ""How firm is the hitch, man?"" All three of them laughing their asses off. I sat there sucking my Coke down to the ice till my throat"
"opsicle sticks, sleep.Aunt June had days off coming, and said we'd do stuff then. In the meantime, Mr. and Mrs. Peggot sat at the table with the lights shut off, not wanting to use up their daughter's electricity. Mr. Peg didn't know the streets, and there wasn't any yard. I mean, none, because I asked. I didn't believe the world would even have a place like this. Not just from the kid viewpoint of no place to mess around. Where would these people grow their tomatoes?

The apartment itself was nice, if you overlooked where it was. Classy, like Aunt June, with her shiny fingernails and short brown hair like Posh of the Spice Girls. Little freckles. Definitely hot, or so I'd have thought if I wasn't calling her Aunt June. Her furniture was a cut above what people usually have, matching. A fridge where ice and cold water came out the front, and a kitchen counter with stools. Bookshelves with books. One bathroom for everybody and another one for Aunt June only, in her bed","room, with a tub. I was still scared of those somewhat but didn't let on. She also had a closet with a shoe rack on the door, twenty-one pairs of shoes, actual count. On our first day Emmy made a point of showing us all these special features of the place, which took maybe an hour. Then we were pretty much lost for stuff to do. Mrs. Peggot poked into June's closet and got to mending. She could mend anything at all to where you couldn't tell it was ever ripped, and made all Maggot"
". I asked her, Why me? Why not Maggot? And she said, Duh. Matty's my cousin.That gave me the usual sting of not having my own cousins. But I hadn't considered there being a plus side, like Emmy eligible to be in love with me. I told her I didn't know how. She said no worries, it was easy, she did it all the time with boys at school and the Popsicle stick place.Maggot said that just proved she was a slut. I think he was feeling left out.



The day we packed up to go home, Emmy pounced with all these instructions. I was to talk Mom into letting me call her. This being the nineties, no Facebook, no texting. Emmy said if I didn't call, she'd drop me and be in love with somebody else. Might as well learn that one early, I'm going to say. But I hadn't thought much about Mom since we left. Even though she was all, Don't forget me, which I thought was stupid. Who forgets his mom? But yet I had",".I made up for it by thinking about her a lot on the way home. It's two hours, but we stopped for gas and Cokes at Cumberland Gap, and at the park where they have the bison. Mr. Peg was the slowest driver imaginable. Finally we chugged up the driveway at a mind-shattering five miles an hour, and I was ready to open the door and roll out before he got to a stop. But Mrs. Peggot turned around and laid a hand on my arm while the others got out. She said she had something she was supposed"
"on, which was Law and Order, and I didn't want to eat any more. The pizza was a Hawaiian from Pro's with the ham and pineapple, my favorite, which Mom of course knew and Stoner didn't. This pizza was like a message in code from Mom to me, meaning: Don't give up the ship, I'm still on it with you. But now with Stoner going quiet and all brutal in his eyes, I felt like I'd be lucky to keep down what I'd eaten so far.The show ended. Stoner got up and turned off the TV and sat back down facing Mom. ""I see,"" he said. ""Because drunks and pill heads are so good at taking care of their kids.""

Mom's eyes went to mine. The house is on fire, is what they said, and I'm so sorry about it that I could die.I knew she was sorry. We'd been over it a hundred times. That's Step 9, apologizing to all the people you've hurt. That and the higher power, the moral inventory, the","practicing of the principles, we'd been through it all. She'd tried, and to be fair I guess she was trying still.""Mom is sober,"" I said. ""She got sober so she could keep me.""

""And who the hell asked you?"" He leaned over the coffee table and closed the pizza box and slid it away from where I was sitting on the floor. Like I was an animal he was training that had just lost my privileges. He turned back to Mom.""You love your kid so much, you let the neighbors fucking raise him. Even"
"finally grows a pair of tits and they're the property of a goddamn infant.Eventually Romeo gets bored, shoves the piece in his pocket, and drives off. Not in his panel truck either, Mariah's Chevy Monza being the better getaway car. This is not the end of Mariah's bad day. It's the beginning. The front door he's left standing open so she can see Matty in his playpen in the living room. She has to watch him getting hungry and scared out of his mind. He's far from walking yet, barely sitting-up age, always-empty age, crying out his heart and looking through the white mesh of the playpen, his little sad eyes asking whymommywhy?

The first time, it's two hours. Then Romeo comes back with his pretty smile and asks her if she's sorry. She says yes, she runs to calm down and feed poor Matty, and that's what passes for making up in this love nest.Mariah can't go begging her parents to let her come home, because she was warned. Plus stubborn as","the day is long. She begs her sister for help. June is still living at home but in community college now, and a genius. The whole Peggot family in fact is a shed of sharp tools, all these gifteds and talenteds. The exception being Humvee, of the birdhouse, that recently brought disaster on the family by getting himself killed. Dark clouds over the Peggot house.Things get worse. Romeo leaves for days at a time, only to come home demanding his dinner and sex if he feels like it, but generally so toasted he passes out facedown on the bed where he"
"the bus stop with her ATV to take all the tiny tots up the hill, blue-ribbon mommy that one. The rest of us, left to our own device. It was unthinkable now to go back to the full ban on Maggot-association. We weren't even clear on where the ban zone started. In eyeshot of my house, you had to think. To play it safe we took a few hours screwing around before making it all the way up there. I poked my head in the door and hollered but nobody was home. I went in, got a Snickers out of the fridge, and went to my room. End of story. I wish.Mom gets home from work, yells how she hopes I had a good first day, I yell back it was okay. Then Stoner gets home: ""What in the goddamn motherfuck, Demon. Get in here now.""

I had tracked in some mud on the kitchen floor, and Stoner was losing his shit. It was mud, okay? I am a kid, and we live in a place that is made out of mud. Fine, I","took off my shoes and put them outside, then got the mop and bucket. I'd cleaned up worse. Mom in her times of lapse was a drinker of the toilet-hugging kind. Maybe where I got my weak stomach from. She's standing by the sink saying nothing, with her hand over her mouth in case it was to get any ideas. Stoner is in the doorway, hands on hips like he's the badass warden in Escape from Alcatraz.I start mopping the floor, and Stoner asks what"
"a time, three bottles. I don't know what they are, Xanax and shit she should definitely not have around, but the bottles aren't empty, thank God. She didn't down the whole batch, so she's just going for a Cadillac high, not the total checkout. But God knows she could get there anyway. Mom being not the most careful driver.""Call nine-one-one,"" I tell Stoner, and the damned fool asks why.""Call nine-one-one!"" I scream at him. ""Christ, you ignorant asshole! She might have OD'd.""

At this point I'm not even thinking what ""ignorant asshole"" will get me in the Stoner rewards program. I already know. Life as we've lived it is over.



8




I was the one to grab the phone, with Stoner slinging punches to stop me, the two of us loud enough to get Mr. Peg banging on the kitchen door. Stoner said I'd regret making that call. I've wondered. Would Mom","really have died? Or just followed her true colors and hurled up the works, living on for more Seagram's-and-nerve-pill fiestas? Could I have lasted Stoner out? At the time, I thought my life couldn't get any worse. Here's some advice: Don't ever think that.I rode up front with the ambulance driver, trying to get my shoes tied. I'd managed to pull jeans on before the EMTs got there, but had to run out of the house carrying my shoes. That's how"
