prompt,true_suffix,response
"For Bri, who picked me up from the airport the night we first met and drove me through a snowstorm without ever looking back. I struck gold with you.
SOME PEOPLE ARE natural storytellers. They know how to set the scene, find the right angle, when to pause for dramatic effect or breeze past inconvenient details.
I wouldn't have become a librarian if I didn't love stories, but I've never been great at telling my own.
If I had a penny for every time I interrupted my own anecdote to debate whether this actually had happened on a Tuesday, or if it had in fact been Thursday, then I'd have at least forty cents, and that's way too big a chunk of my life wasted for way too small of a payout.
Peter, on the other hand, would have zero cents and a rapt audience.
I especially loved the way he told our story, about the day we met.
It was late spring, three years ago. We lived in Richmond at the time, a mere five blocks separating his sleek apartment in a renovated","Italianate from my shabby-not-quite-chic version of the same kind of place.
On my way home from work, I detoured through the park, which I never did, but the weather was perfect. And I was wearing a floppy-brimmed hat, which I never had, but Mom mailed it to me the week before, and I felt like I owed it to her to at least try it out. I was reading as I walked—which I'd vowed to stop doing because I'd nearly caused a bike accident doing so weeks earlier—","warehouse from my tiny house in a historic neighborhood.
I'd been in the city for a year, and I'd been in love with him for a year, but I'd never met him.
I'd seen him, of course. He was hard to miss. He was tall, with a broad chest and shoulders, and he had a head of thick, dark hair that he wore long enough to touch his collar. He was the kind of man who could wear a suit and still look like a rock star.
I'd seen him in the grocery store, in the"
"""But it's really loud.""
He scratches one eyebrow with the back of his knuckle, frowning. ""I'm watching a movie,"" he says. ""But I can turn it down. Sorry.""
Without even meaning to, I'm peering over his shoulder to get a better look.
Unlike the rest of our apartment, which was perfectly tidy when I arrived and is still perfectly tidy, his room is disastrous. Half of his records are stacked atop the milk crates they ostensibly belong inside. His bed is unmade, a rumpled comforter and the sheet untucked all the way around.
Two tattered flannel shirts hang out of his mostly closed dresser drawers, like little ghosts he's pinned there, midescape.
In direct opposition to the creams and taupes of my room, his is a messy, cozy mix of rusts, mustards, seventies greens. Where my books are neatly organized along my bookcase and the shelf I installed above my window, his (very few) are face down, spines cracked",", on the floor. Electronics manuals, loose tools, and an open bag of Sour Patch Kids are scattered across his desk, and on his windowsill, a stick of incense burns between a few surprisingly vivacious houseplants.
His TV, though, is what catches my eye. Onscreen is the image of a thirty-year-old Renée Zellweger, sporting red pajamas and belting a song into a rolled-up magazine.
""Oh my god, Miles,"" I say.
""What?"" he says.
",", on the floor.
""I'm not sure I'm ready for this,"" I say.
""You're not ready for this?"" He looks at me like I'm crazy. ""You're the one who said you wanted to watch a movie.""
""I did.""
""And I'm the one who said I'd turn it down.""
""I know.""
""So what's the problem?""
""I don't know."" I shrug. ""I guess I'm just not used to being in a guy's room.""
""You"
"schedules. At the first over-the-top birthday party I ever threw him, Peter's and my respective best friends in Richmond, Cooper and Sadie, hit it off and started dating too.
Within a year, Peter proposed. I said yes.
A year later, while wedding planning, we started looking for a house to buy. His parents, two of the loveliest people I've ever met, sent him the listing for a gorgeous old house not far from them in the lakeside Michigan town he'd grown up in.
He'd always wanted to get back there, and now that his software development job had gone remote, nothing was stopping him.
My mom lived in Maryland by then. My dad, a title that really deserves to have scare quotes around it, was out in Southern California. Sadie and Cooper were toying with the possibility of moving to Denver.
And as much as I loved my job in Richmond, what I really wanted—
what I'd always wanted—was to be a children's librarian, and lo and behold, the Waning Bay Public Library was looking to fill that exact position.
So","we bought the house in Michigan.
Well, he bought it. I had terrible credit and slim savings. He covered the down payment and insisted on paying the mortgage.
He'd always been so generous, but it felt like too much. Sadie didn't understand my hang-ups— I let Cooper pay for literally everything, she'd say, he makes a shit-ton more than me—but Sadie hadn't been raised by Holly Vincent.
There was no way my badass, hyperindependent mother would approve of me relying on Peter so","I applied.
And I got it.
And I moved to Michigan.
And I married Peter.
And I became a children's librarian.
And I was happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so happy.
I was so"
"looked online."" He shifted forward on the couch to pull a folded piece of paper out of his back pocket, and handed it to me.
Some truly deluded part of me thought it would be an apology note, a love letter that made all of this . . . not okay, but maybe salvageable.
Instead it was a printout of local apartment listings.
""You're moving out?"" I choked.
A flush crept up his neck, his eyes darting toward the front door. ""Well, no,"" he said. ""The house is in my name, so . . .""
He trailed off, expecting me to fill in the blank.
Finally, I did.
""Are you fucking kidding me, Peter?"" I jumped up. I didn't feel hurt then. That would come later. First it was all rage.
He stood too, brows shooting toward his perfect hairline. ""We didn't mean for this to happen.""
""Of course she fucking meant for this to happen, Peter! She had twenty-five years to tell you she was in love with you and chose last night","!""
""She didn't realize,"" he said, defensive of her. Protecting her from the blast of this emotional fallout while I was here on my own. ""Not until she was faced with losing me.""
""You brought me here!"" I half screamed. At the end, it turned into a sort of deranged laugh. ""I left my friends. My apartment. My job. My entire life.""
""I feel so terrible,"" he said. ""You have no idea.""
""I have no idea how bad you feel?"" I demanded. ""Where am I supposed","to do it!""
""I'm not saying she didn't mean it. I'm just saying—""
""You're just saying you're a fucking idiot!"" I screamed. ""You're just saying you're a fucking idiot who's going to lose the best thing that ever happened to him because you're too fucking stupid to see it!""
I was shaking. I was so angry I could barely breathe.
""I'm not stupid, Lily,"" he said, his voice low. ""I'"
"then, eventually, helping open new branches. We never had professional movers, just the help of
whichever guy was trying and failing to score a date with Mom at the time, so I learned to travel light.
I made a sport of figuring out the absolute least amount of things I needed. It helped that I was such a library kid and didn't have metric tons of annotated paperbacks. Books were the only thing I was gluttonous about, but I didn't care about owning them so much as absorbing their contents.
Once, before a move in high school, I convinced Mom to do a ceremonial burning of all the A+ tests and papers she'd been stockpiling on our fridge. We turned on the little gas fireplace in the living room—the only thing we both agreed we'd miss about that mildew-riddled apartment—and I started tossing things in.
It was the only time I'd seen her cry. She was my best friend and favorite person in the world, but she wasn't a soft woman. I'd always thought of her as completely invulnerable.
But that night,","watching my old physics test blacken and curl, her eyes welled and she said in a thick voice, ""Oh, Daph. Who am I going to be when you go off to college?""
I snuggled closer to her, and she wrapped her arms around my shoulders.
""You're still going to be you,"" I told her. ""The best mom on the planet.""
She kissed me on the head, said, ""Sometimes I wish I held on to a little bit more.""
""It's just stuff,"" I reminded her, her own constant refrain.
","she was sobbing, and I was too. I'd never seen her so upset. I'd never seen her so vulnerable.
""I'm sorry,"" I said. ""I didn't mean to make you cry.""
She shook her head. ""It's not you. It's just…"" She wiped her eyes. ""I'm so proud of you, Elizabeth. I'm so proud of you.""
I'd never heard her say that before.
""I'm proud of you, too,"" I said.
She smiled. ""I"
"chorus of ridiculous little voices rises as I approach, cries of
""Miss Daffy!"" and other adorable mispronunciations of my name. In my heart, it feels like little kernels are bursting into fluffy blossoms of popcorn.
One little girl announces, as I walk past, ""I'm three!"" and I tell her that's awesome, and ask how old she thinks I am.
After brief consideration, she tells me I'm a teenager.
Last week she said I was one hundred, so I'm taking this as a win.
Before I can respond, a four-year-old named Arham I've literally never seen not in a Spider-Man costume flings himself at me, hugging my knees.
No matter how foul my mood, Story Hour always helps.
""Sweetie,"" Arham's mother, Huma, says, reaching to peel him away before we topple.
""Who here likes dragons?"" I ask, to near-unanimous cheering.
There are a lot of sweet families who've become","regulars since I started here a year ago, but Huma and Arham are two of my favorites. He's endlessly energetic and imaginative, and she rides that magical line of keeping firm rules without squashing his little weirdo spirit. Seeing them together always makes my heart ache a little bit.
Makes me miss my own mom.
Makes me miss the life I thought I'd have with Peter, and the rest of the Collinses.
I shake myself out of the cloud of melancholy and settle into my chair with the first of","regulars at Story Hour. I've gotten to know them over the past few months, and I'm always happy to see them.
""I'm going to read you a story about a dragon,"" I say. ""But first, I need to know what you think a dragon looks like.""
""Like a dinosaur!"" a little boy says.
""Like a lizard!"" a little girl says.
""Like a snake!"" another little girl says.
""Like a dragon!"" Arham says.
""Like a dragon,"" I say. ""That'"
"s up before I can argue, a bit she's done as long as I can remember.
Miles lives on the third floor of a renovated brick warehouse at the edge of Waning Bay, in a neighborhood called Butcher Town. I assume it used to be the city's meatpacking district, but I've never Googled it, so I don't know, maybe it's named after an old-timey serial killer.
By the time I climb the stairs and reach the front door, I'm clammy with sweat, and inside I drop my tote and wrestle out of my cardigan before toeing off my loafers. Then I check my phone calendar against the whiteboard. The only thing that's changed since last night is, I agreed to host the Thrills and Kills book club on Thursday while Landon, the patron services assistant who usually runs it, recovers from his root canal.
I scribble the book club onto the board, then grab a glass and fill it with cold water. As I chug, I amble toward the living room. In the corner of my eye, a sudden","movement surprises me so badly I yelp and slosh half my glass onto the rug.
But it's just Miles. Lying face down on the couch. He groans without so much as lifting his face out of the squashy cushion. His furniture is all comfort, no sex appeal.
""You looked dead,"" I tell him, moving closer.
He grumbles something.
""What?"" I ask.
""I said I wish,"" he mumbles.
I eye the bottle of coconut rum on the table and the empty mug","movement catches my attention. I turn to see a black-and-white cat with a white-tipped tail and a white-tipped tail-tip stalking across the floor.
""Hey, kitty,"" I say, and the cat stops, then turns to stare at me.
""You're a beauty,"" I say, and the cat stares at me some more.
""I'm not sure if you're a boy or a girl, but I'm going to call you a boy, because I'm a girl, and I'm pretty sure that"
"one tiny bit.""
He looks up at me through a half-formed smile. ""Fair.""
""She never . . ."" I twist my feet down in between the bottom seat cushions and the back ones. ""I don't know, acted jealous of me? Did you have any idea she was . . . into him?""
Another wry, not-quite-happy smile as he turns in toward me. ""I mean, yeah, sometimes I wondered. Of course. But they'd been best friends since they were kids. I couldn't compete with that, so I left it alone and hoped it wouldn't be a problem.""
Somehow, out of everything, that's what does it: I start to cry.
""Hey. "" Miles moves closer. ""It's okay. It's . . . fuck."" He pulls me roughly into his chest, his wine bottle still hanging from his hand. He kisses the top of my head like it's the most natural thing in the world.
In actuality, it's the first time he's touched me, period. I've never","been super physically affectionate with even my close friends, but I have to admit that after weeks of exactly no physical contact, it feels nice to be held by a near–perfect stranger.
""It's ridiculous,"" he says. ""It's unbelievably fucked."" He smooths my hair back with his free hand as I cry into his T-shirt, which smells only very faintly of weed, and much more of something spicy and woodsy.
""I'm sorry,"" he says. ""I should've thrown the invitation away. I","been this close to him.
""I'm sorry,"" I say, my voice muffled against his chest. ""I'm so sorry.""
""It's okay. It's okay.""
""I'm so sorry.""
""It's okay.""
""I'm so sorry.""
""It's okay.""
""I'm so sorry.""
""It's okay.""
""I'm so sorry.""
""It's okay.""
""I'm so sorry.""
""It's okay.""
""I'm so sorry."""
"as, we'd learned, was his next destination.
But Gill tucks the bill in the pocket on Miles's shirt, then claps one leathery hand on each of our cheeks. ""Stay strong, kids,"" he says sagely, then turns, tosses his beat-up leather jacket over one shoulder, and literally whistles a goodbye to the bartender.
By the time we've finished our last round, the rain has stopped, and the night is pleasantly cool, so we decide to walk home in a drunken zigzag, Miles's arm slung over my shoulder and mine around his waist like we're two old friends rather than very drunk, newly minted allies. ""Does that kind of thing happen to you often?"" I ask.
""What kind of thing?"" Miles says.
""Gill,"" I say.
""There aren't many Gills in the world,"" Miles replies.
""The free drinks,"" I clarify. ""The hours of stimulating conversation about crimes he may or may not have witnessed.""
""I don't know."" He","shrugs. ""Sometimes.""
""How often do you get free drinks, Miles?""
He casts a bemused look over at me. ""It's a friendly place.""
""MEATLOCKER?"" I ask.
""Butcher Town,"" he says.
I smack my forehead and he stops short in surprise. ""That's why it's called MEATLOCKER,"" I say. ""I spent the whole night trying to figure out if it was a fetish bar or something.""
Miles tips his head back, laughing. ""You thought I took","shrugs. ""I've never really thought about it.""
""You've never thought about it?"" I say. ""You've never wondered if you're a magnet for weirdos?""
""I'm not a magnet for weirdos,"" he says. ""I'm a magnet for people who are interested in me.""
""You're a magnet for people who are interested in you?"" I say. ""You're a magnet for people who are interested in you?""
""Yeah,"" he says. ""I'm a magnet for people who are interested in me."""
"hallway to hiss, ""Some of us are trying to sleep around here!""
""Sorry, Mr. Dorner,"" Miles says like a chastened schoolboy.
Mr. Dorner retreats.
I squint after him, confused. ""Doesn't he usually have hair?""
Miles bursts into not-at-all-quiet laughter. I smush my hands over his mouth to shut him up. ""You thought that hair was real?"" he asks. ""You have to be the most gullible person on the planet.""
""I mean,"" I say, ""despite my innate cynicism, I think the last six weeks have already proven that both of us are way, way too trusting.""
A couple of hours ago, this might've tripped the start crying ASAP wire in my brain. Instead we're just back to cackling.
Mr. Dorner's lock rattles again. Miles spins away to get our door unlocked, yanking me inside before we have to face another scolding.
We slam ourselves against the door to shut it, catching our breath. ""","I feel like we're in Jurassic Park,"" he says, which makes me laugh harder.
""What,"" I gasp.
""Like we just slammed the door against a bunch of raptors,"" he explains.
""I don't think Dorner's teeth pose that kind of threat, Miles,"" I say. ""I'm fairly sure he wasn't even wearing them.""
""You know what I think?"" he says.
""What?"" I ask.
""I think we should just fucking do it,"" he says.
My heart spikes up","I'm so glad you're here,"" I say. ""I'm so glad you're here.""
""I'm so glad you're here,"" he says.
""I'm so glad you're here,"" I say.
""I'm so glad you're here,"" he says.
""I'm so glad you're here,"" I say.
""I'm so glad you're here,"" he says.
""I'm so glad you're here,"" I say.
""I'm so glad you're here,"" he says"
"
The name Gill just occurred to me out of thin air, the image of his braided gray beard flashing across my mind.
I clamp my phone against my ear and beeline toward the window for fresh air. It's cool out, more spring than summer today.
""Hello!"" I say, too loud, too forceful, and too cheery. A rare trifecta.
""Daphne?"" Peter's soft voice fills my head like helium.
""Yes?"" I say.
There's a pause. ""You sound different.""
""I feel different,"" I reply. No idea why that's what comes out.
""Oh."" There's a silence on the other end.
""So,"" I say.
Another pause. ""So, I got your RSVP?""
I dig the heel of my hand into my forehead and press, hard, against the throbbing there. ""Yeah.""
""And I guess I just . . ."" He takes a breath. ""I wanted to make sure everything was okay.""
""Okay?""
I feel like I'm back in high school calculus, random bits of equations and numbers","drifting around me nonsensically: there's some kind of meaning there, but I do not have the right brain to interpret it.
""Yeah, I mean . . ."" A soft breath. ""You don't have to come, you know.""
My laugh sounds more like a cough.
""I mean, of course we'd love to have you,"" he hurries on.
The sound of we alone is enough to make the contents of my stomach flip around like I chugged clam chowder, then hopped on a roller coaster","floating around in my head.
""I mean, I know you're not coming to the wedding, but I just wanted to make sure you were okay.""
""I'm fine,"" I say. ""I'm just not coming to the wedding.""
""Right.""
""I'm not mad at you, Peter. I'm not mad at anyone.""
""Okay.""
""I'm just . . ."" I take a deep breath. ""I'm just not coming to the wedding.""
""Right.""
""I'm not mad at you.""
"
"""Aren't you mad?"" I say.
He spins back with the sriracha bottle and an unmarked jar of something dark and goopy. ""Why would I be mad?""
""Because we aren't dating,"" I say.
""I'm aware."" He dumps the bag out onto the counter, and two yellow-paper-wrapped sandwiches fall out. He slides one toward me, then turns to the already full coffeepot.
""How long have you been up?""
""I don't know."" He shrugs. ""Hour or two."" He carries two steaming mugs back to the counter. He gives me a mug with Garfield the cat wearing a cowboy hat on it. ""Cream? Sugar?""
I shake my head. I'm not much of a coffee drinker. I'll just sip enough to take the edge off of this hangover.
Miles opens the jar and spoons a little probably-maple-syrup into his coffee. ""Is that good?"" I ask, leaning forward to watch.
""I don't know,""","he says. ""Seems like it would be, though. Did you drunk-dial?""
""What?"" I say.
""Did you call Peter drunk?"" he says, unwrapping his sandwich, flipping it open, and absolutely slathering the egg and avocado inside with sriracha.
""No, he called me.""
He pauses with the sandwich halfway to his mouth. He lets out another laugh and lowers the sandwich. ""Wait. Did we RSVP to their wedding last night?""
Hearing it said al","he says. ""I've never tried it before.""
I laugh. ""You're a terrible liar.""
""I'm not lying. I've never tried it before.""
""You're a terrible liar,"" I say again.
""I'm not lying,"" he says. ""I've never tried it before.""
""You're a terrible liar.""
""I'm not lying,"" he says. ""I've never tried it before.""
""You're a terrible liar.""
""I'm not lying,"" he says. ""I"
