prompt,true_suffix,response
"This war has … stretched the generation gap so wide that it threatens to pull the country apart.
The walled and gated McGrath estate was a world unto itself, protected and private. On this twilit evening, the Tudor-style home's mullioned windows glowed jewel-like amid the lush, landscaped grounds. Palm fronds swayed overhead; candles floated on the surface of the pool and golden lanterns hung from the branches of a large California live oak. Black-clad servers moved among the well-dressed crowd, carrying silver trays full of champagne, while a jazz trio played softly in the corner.
Twenty-year-old Frances Grace McGrath knew what was expected of her tonight. She was to be the very portrait of a well-bred young lady, smiling and serene; any untoward emotions were to be contained and concealed, borne in silence. The lessons Frankie had been taught at home and at church and at St. Bernadette's Academy for Girls had instilled in her a rigorous sense of propriety. The un","rest going on across the country these days, erupting on city streets and college campuses, was a distant and alien world to her, as incomprehensible as the conflict in faraway Vietnam.
She circulated among the guests, sipping an ice-cold Coca-Cola, trying to smile, stopping now and then to make small talk with her parents' friends, hoping her worry didn't show. All the while, her gaze searched the crowd for her brother, who was late to his own party.
Frankie idolized her older brother, Finley. They'","spoken rules of polite society were as familiar to her as the alphabet.
She had been taught that a lady never spoke of politics, religion, or money. She never discussed her own feelings, or those of others. She never complained, or criticized, or gossiped. She never argued, or contradicted, or interrupted. She never asked questions, or made demands, or made a scene. She never made a fuss, or made a mess, or made a mistake. She never made a move, or made a sound, or made a face. She never made a friend, or made"
"You both love a good party.""
As he neared, her heart did a queer little stutter. He'd had that effect on her from their first meeting, but they'd never really spoken. She didn't know what to say to him now, when she felt a little bereft. Lonely.
""I'm going to miss him,"" he said quietly.
She felt the sting of tears and turned quickly away, faced the wall of memorabilia; he moved in beside her. They stared up at the family photos and mementos. Men in uniforms, women in wedding dresses, medals for valor and injury, a triangle-folded and framed American flag that had been given to her paternal grandmother.
""How come there are no pictures of women up here, except for the wedding pictures?"" Rye asked.
""It's a heroes' wall. To honor the sacrifices our family has made in service of the country.""
He lit a cigarette. ""Women can be heroes.""
Frankie laughed.
""What's funny about that?""
She turned to him, wiped the tears from","her eyes. ""I … well … you don't mean…""
""Yeah,"" he said, looking down at her. She couldn't remember a man ever looking at her in such a way, so intensely. It made her catch her breath. ""I mean it, Frankie. It's 1966. The whole world is changing.""
Hours later, when the guests had begun to make their polite exits, Frankie found herself still thinking about Rye, and what he'd said.
Women can be heroes.
No one had ever said","her eyes. ""I'm just thinking about my grandmother. She was a hero. She was a nurse in the war. She was a single mother. She raised my father and his brother. She was a hero.""
""I'm sure she was. But I'm talking about the women in your family. Your mother, your aunts. They're heroes, too.""
""I guess they are. But they're not in the military. They're not in the service. They're not in the war.""
""They're in the war of life."
"job.
""High school girl from St. Anne's,"" the night charge nurse said, then mouthed, Baby, as if the word itself were a sin. Frankie knew that St. Anne's was the local home for unwed mothers, but it was a thing no one ever talked about: the girls who left school suddenly and came back months later, quieter and lonely looking.
""Her IV is low. I could—""
""For goodness' sake, Miss McGrath, you know you're not ready for that. How long have you been here? A week?""
""Two, ma'am. And I'm a registered nurse. My grades—""
""Don't matter. It's clinical skills I care about, and you have little of those. You are to check bedpans, refill water pitchers, help patients to the toilet. When you're ready to do more, I'll let you know.""
Frankie sighed quietly. She hadn't put in all those long, exhausting hours in study carrels, getting her nursing degree early, so that she could change bedpans and","fluff pillows. How was she going to acquire the clinical skills she needed to land a job at a first-rate hospital?
""So please record and monitor all IV meds. I'll need the information promptly. Go.""
Frankie nodded and began her nightly rounds, going from room to room.
It was almost three in the morning when she came to Room 107.
She opened the door gently, hating to waken the patient if she could help it.
""Have you come to see the freak show?""
Frankie paused, uncertain","refill water pitchers. She'd done it so she could be a nurse, not a nurse's aide.
""I'm sorry, ma'am,"" she said. ""I'm just so eager to learn.""
""I know, dear. I know."" The nurse patted her hand. ""But you're not ready yet. You'll see.""
Frankie nodded, but she didn't believe it. She'd been ready for a long time.
She'd been ready since she was a little girl, when she'd watched her mother"
"old are you?""
""Twenty, sir. Twenty-one next week.""
""The Navy requires two years of service before they send you to Vietnam, ma'am. You'll need to do two years stateside, in a hospital, before you ship out.""
Two years. The war would be over by then. ""You don't need nurses in Vietnam?""
""Oh, we need them.""
""My brother is in Vietnam. I … want to help.""
""I'm sorry, ma'am. Rules are rules. It's for your own safety, believe me.""
Dispirited but not discouraged, Frankie left the recruiting office—hurried past the protesters, who yelled obscenities at her—and found a nearby phone booth, where she consulted the Los Angeles yellow pages and found the address for the nearest Air Force recruiting station.
Once there, she was told the same thing, that she needed more stateside experience before shipping out to Vietnam.
At the Army recruiting station, she finally heard what she wanted to hear: Sure, ma'am. The Army Nurse Corps needs n","urses. We could ship you right out after Basic.
Frankie signed her name on the dotted line, and just like that, she was Second Lieutenant Frances McGrath.
Three
By the time Frankie got back on island, the streetlamps were coming on. Downtown Coronado was dressed for the holidays with streamers and lights; white-bearded, red-coated Santas stood in front of several shops, ringing bells. Illuminated snowflakes hung from lines strung above the street.
At home, Frankie found her parents in","urses. We'll take you.
""I'll take you,"" the recruiter said, ""but I'm not sure you'll want to go.""
""Why not?""
""Because you're going to be in a MASH unit.""
""What's a MASH unit?""
""Mobile Army Surgical Hospital. It's a field hospital. You'll be in the middle of a war zone.""
""I'm not afraid of war zones.""
""You're not afraid of war zones?""
""No.""
""You're not"
"Frankie knew she would remember this evening in startling, scalding images: Dad, standing tall, his hands shaking, showing no emotion until one of the officers called his son a hero, his voice quiet as he asked for details—as if they mattered—Where, when, how? Her mom, usually so elegant and cool, curling into herself on the chair, her carefully coiffed hair falling slowly apart, saying again and again, How can it be, Connor, you said it was barely a war.
Frankie didn't think either of her parents noticed when she slipped out of the house and crossed Ocean Boulevard to sit in the cool sand.
How had he been shot down? What was an officer's aide doing in a helicopter? And what did it mean that there were no remains? What were they supposed to bury?
She felt tears well again, and closed her eyes, recalled images of Finley on this beach, running into the surf, holding her hand, teaching her how to float on her back, how to swim, taking her to see Psycho when Mom had specifically forbidden it, sneaking her a bott","le of beer on the Fourth of July. She closed her eyes and let the memories flow; she remembered him and their life together, their fights and squabbles. Going to Disneyland for the first time, riding their bikes in the summer, and racing to the tree on Christmas morning, him letting her win. Her big brother.
Gone.
How often had she and Fin been out here at night together, running on the beach, riding their bikes home at night, guided by streetlamps, laughing, poking each other, holding their arms outstretch","le of beer, and then, later, when she was older, taking her to a party where she'd gotten drunk and thrown up on the floor.
She'd been so angry with him for that.
But now she was angry with herself. She'd been angry with him for so many things, and she'd never told him. She'd never told him how much she'd loved him, how much she'd missed him.
She'd never told him that she'd been the one to find him in the garage, that she'd been the one to"
"letting the rumble of the engines lull and calm her. She heard the buzz of men talking, laughing, the snap-hiss of colas being opened, the smell of sandwiches being handed out. She imagined Finley on the plane with her, holding her hand; for a split second, she forgot that he was gone and she smiled. Coming to meet you, she thought, and then her smile faded.
As she drifted off to sleep, she thought she heard Captain Bronson mumble quietly, ""Sending goddamn babies…""
When Frankie woke, the airplane cabin was quiet except for the hum of the jet engines. Most of the window shades were drawn. A few overhead lights cast a gloomy glow over the men packed into the jet.
The loud razzing, the laughter, the horseplay that had marked most of this flight from Honolulu to Saigon was gone. The air seemed heavier, harder to draw into her lungs, harder to expel in an exhalation. The new recruits—recognizable by their still-creased, green fatigues—were restless.","Unsettled. Frankie saw the way they looked at each other, their smiles bright and brittle. The other soldiers, those weary-looking men in their worn fatigues, men like Captain Bronson, sat almost too still.
Beside Frankie, the captain opened his eyes; it was the only change in him from sleeping to awake, just an opening of his eyes.
Suddenly the plane lurched, or bucked, seemed to turn onto its side. Frankie smacked her head on the tray on the back of the seat in","They were the ones who had been the most vocal, the most boisterous, the most eager to get to the war. Now they were quiet, their eyes wide, their faces pale.
Frankie looked out the window. The sky was a deep, dark blue. The sun was setting, and the clouds were aflame with red and orange and gold. She thought of the sunset she'd seen from the deck of the ship that had brought her to Hawaii. She'd been so excited to see the sun set over the ocean, but it had been a disappointment. The sun had sunk into"
"
Frankie followed a broken path to the front door and entered the building. Inside, a few gas lanterns flickered light against the walls. There was a woman in fatigues waiting for her in the shadowy entry. ""Lieutenant McGrath?""
Thank God. ""Yes.""
""I'll show you to your room. Follow me."" The woman led the way past a hallway filled with cots, and up a set of sagging stairs to a second-floor room—cubicle, really. A room barely big enough to hold the set of bunk beds in it, with a single dresser. Maybe the building had once been a convent or a school. ""In-processing tomorrow at oh-seven-hundred hours. Report to admin.""
""But—""
The soldier walked away, shut the door behind her.
Darkness.
Frankie felt around for a light switch, found and flipped it.
Nothing.
She opened the door again, grateful for the bit of ambient light coming from gas lanterns in the hallway. She went in search of a bathroom, found one with a rust-stained sink and","toilet. She turned on the faucet, got a weak flow of tepid water, and washed her face, then took a drink.
A woman in an Army-green T-shirt and shorts walked in, saw Frankie, and frowned. ""You'll be sorry about that, Lieutenant. Never drink the water.""
""Oh. I'm new … in-country.""
""Yeah,"" the woman said, eyeing Frankie in her skirt uniform. ""No shit.""
Frankie woke in the middle of the night with cramping","a toilet that was missing its seat. She washed her hands, then went back to her room.
She sat on the bottom bunk, her backpack at her feet. She'd been in the military for a year and a half, and she'd never been in a situation like this. She'd never been in a situation where she was the only woman. She'd never been in a situation where she was the only one who wasn't a white male. She'd never been in a situation where she was the only one who wasn't a white male who'd been in"
"ills. ""Malaria and diarrhea. Take them religiously. Don't drink the water unless it's out of a Lister bag or jerry can. If you want, I'll show you—""
Patty stopped midsentence, cocked her head, listening. A moment later, Frankie heard the sound of helicopters.
""Crap,"" Patty said. ""Incoming. I guess you're on your own, McGrath. Get settled in."" With an encouraging smile, she patted Frankie's shoulder and hurried away. Frankie heard the thud of dozens of booted feet running on the wooden ramps throughout the camp.
Frankie felt abandoned.
""Buck up, McGrath,"" she said aloud. Reaching for the door to her hooch, she stepped up the single step and entered a dark, musty, buggy room, about fifteen feet by thirty feet, that was divided into three separate cubicle-like spaces, each with its own green canvas-and-metal cot, a makeshift bedside table, and a lamp. Olive-green netting hung in swoops","over the ugly plywood walls. Above one cot, color photographs were tacked to the wall: a couple, standing in front of a red horse barn, a man with close-cropped hair, leaning against the hood of a Chevrolet truck, that same man standing between a little red-haired girl and a huge black horse. Above the other cot were posters of Malcolm X and Muhammad Ali and Martin Luther King, Jr. The third cot—hers, presumably—had nothing tacked onto the wall, but the plywood was full of tack holes and","from the ceiling, and a mosquito net draped over the bed. The room smelled of sweat and mildew.
She set her duffel on the bed and turned on the lamp. The light was dim, but she could see that the room was clean, if not exactly tidy. A few clothes were strewn about, and a pair of boots lay on the floor. A small, framed photograph of a young man in uniform hung on the wall.
Frankie sat on the bed and looked around. She was in the middle of nowhere, in a place she'"
"inspired pixie for her tour, and now, after thirty-eight hours of travel and this hellish humidity, God knew she must look like she was wearing a black swim cap. Or like she was twelve years old.
Ethel walked fast, talking as she went. ""Welcome to the Thirty-Sixth, Frank. Can I call you Frank? This is technically a mobile hospital, but we haven't gone anywhere in a while; instead, we keep getting bigger. We have several doctors and four surgeons—you'll know them instantly. They think they're gods. There are nine of us women nurses and a couple of male nurses and lots of medics. In most wards, the hours are oh-seven-hundred to nineteen hundred hours, six days a week, but we are short-staffed right now, so really, we go until the last casualty is taken care of. If it sounds like a lot, it is, but you'll get used to it. Hurry up. You're lagging.""
In the falling darkness, Frankie couldn't see much of the","place: a row of shacks—the hooches—a large wooden building that housed the mess, the nurses' latrines, a chapel, a row of Quonset huts that were weakly illuminated, the hospital insignia painted on their exterior walls.
Ethel rounded the corner of a Quonset hut and suddenly they were in a wide-open space, a patch of red dirt surrounded by shadowy structures. All of it looked hastily constructed, temporary. Not far away—close enough to hear the whoosh of the tides—lay the","camp. She could hear the sounds of the men, the clanking of metal, the shouts of orders, the whine of the generators. She could smell the diesel and the sweat and the blood.
""Here we are,"" Ethel said, stopping at a tent. ""This is the ward. You'll be working here. It's a bit of a mess, but we'll get it sorted. You'll be on night shift, so you'll be sleeping in the tent next to this one. You'll be sharing with another nurse. I'"
"will.""
Six
The next morning, Frankie woke disoriented, uncertain where she was.
Then the smell hit: shit and fish and rotting vegetation. And the heat. She was drenched in sweat. Her sheets smelled sour.
She was in her sauna-hot hooch, in Vietnam. With a pounding headache.
She sat up and swung her legs over the side of the cot.
For a terrible minute, she thought she might vomit.
She'd had two shots of whiskey last night. Two.
And nothing to eat.
The last thing she remembered was dancing with Ethel to ""Monday, Monday."" Had Frankie's shorts fallen down at one point, pooled around her shiny new combat boots? She thought so, thought she remembered someone saying, Nice gams, Frank! and Ethel laughing as Frankie struggled to pull the shorts back up.
Oh God. Way to make a good first impression.
Where were Barb and Ethel?
Feeling shaky, dehydrated, she scratched her short hair and looked around.","A large gray rat sat on the dirty wooden floor, holding a half-eaten candy bar in his pointy pink paws; at her look, he stopped nibbling and stared back at Frankie through black, oil-drop eyes.
Tomorrow morning, she'd throw something at him. Now she felt too weak to expend the effort.
Frankie got out of bed, ignoring the rat, who was now ignoring her, too, and dressed in her creased olive-green fatigues, taking care to tuck her pants into her spit-shined","The hooch was empty.
She'd been here for a week now, and she'd yet to see a single other woman.
She'd been told that the women were in the field, but she'd also been told that the women were in the field, and that they were in the field, and that they were in the field.
She'd been told that the women were in the field, and that the women were in the field, and that the women were in the field, and that the women were in the field, and that the women were in the field, and that the women"
